Sıra,Sure,Ayet,Metin,Hoca
1303,9,68,"Allah, ikiyüzlü erkek ve kadınlara ve inkarcılara, ebedi kalacakları cehennem ateşini",Diyanet 1961
1304,9,69,"Ey ikiyüzlüler! Siz, sizden önce daha kuvvetli, malları ve çocukları daha çok olup,",Diyanet 1961
1305,9,70,"Kendilerinden önce olan Nuh, Ad, Semud milletlerinin, İbrahim milletinin, Medyen ve altüst",Diyanet 1961
1306,9,71,Mümin erkekler ve mümin kadınlar birbirlerinin velileridir; iyiyi emreder kötülükten,Diyanet 1961
1307,9,72,"Allah mümin erkeklere ve mümin kadınlara, temelli kalacakları, içlerinden ırmaklar akan",Diyanet 1961
1308,9,73,"Ey Peygamber! İnkarcılarla, ikiyüzlülerle savaş; onlara karşı sert davran. Varacakları yer",Diyanet 1961
1309,9,74,"And olsun ki, müslüman olduktan sonra inkar edip küfür sözünü söylemişler iken,",Diyanet 1961
1310,9,75,"Aralarında: 'Allah bize bol nimetinden verecek olursa, and olsun ki sadaka vereceğiz ve",Diyanet 1961
1311,9,76,"Allah onlara bol nimetinden verince, cimrilik ettiler, yüz çevirdiler. Zaten dönektirler.",Diyanet 1961
1312,9,77,Allah'a verdikleri sözden caydıkları ve yalancı oldukları için O’nunla karşılaşacakları güne,Diyanet 1961
1313,9,78,"İkiyüzlüler, Allah’ın onların sırlarını ve gizli toplantılarını bildiğini, Allah’ın görünmeyenleri",Diyanet 1961
1314,9,79,Sadaka vermekte gönülden davranan müminlere dil uzatan ve ancak ellerinden geldiği kadar,Diyanet 1961
1315,9,80,"Onların ister bağışlanmasını dile, ister dileme, birdir. Onlara yetmiş defa bağışlanma dilesen",Diyanet 1961
1316,9,81,"Allah’ın Peygamberinin hilafına geri kalanlar, oturup kalmalarına sevindiler. Allah yolunda",Diyanet 1961
1317,9,82,"Yaptıklarının cezası olarak, bundan böyle az gülsünler, çok ağlasınlar.",Diyanet 1961
1318,9,83,"Allah seni geri döndürüp, onlardan bir toplulukla karşılaştırdığı zaman, senden savaşa",Diyanet 1961
1319,9,84,"Onlardan ölen kimsenin namazını sakın kılma, mezarı başında da durma! Çünkü onlar",Diyanet 1961
1320,9,85,Malları ve çocukları seni hayrete düşürmesin; Allah bunlarla onlara dünyada azabetmek ve,Diyanet 1961
1321,9,86,"'Allah’a inanın ve Peygamberinin yanında savaşın’ diye bir sure inmiş olsa, onların gücü",Diyanet 1961
1322,9,87,"Geri kalan kadınlarla beraber bulunmaya razı oldular. Kalbleri kapanmıştır, bu yüzden",Diyanet 1961
1323,9,88,"Ama Peygamber ve onunla beraber bulunan müminler, mallariyle ve canlariyle savaştılar.",Diyanet 1961
1324,9,89,"Allah onlara temelli kalacakları, içlerinden ırmaklar akan cennetler hazırlamıştır. Büyük",Diyanet 1961
1325,9,90,"Bedevilerden, izin almak üzere, özür beyan eden kimseler geldiler. Allah’a ve Peygamberine",Diyanet 1961
1326,9,91,"Güçsüzlere, hastalara ve sarfedecek bir şeyi bulunmayanlara, Allah ve Peygamberine bağlı",Diyanet 1961
1327,9,92,"Binek vermen için sana geldiklerinde, 'Size binek bulamıyorum’ dediğin zaman, sarfedecek",Diyanet 1961
1328,9,93,"Sorumluluk ancak, zengin oldukları halde senden izin isteyen, geride kalan kadınlarla",Diyanet 1961
1329,9,94,"Savaştan döndüğünüzde size özür beyan ederler. Onlara de ki: 'özür beyan etmeyin, size",Diyanet 1961
1330,9,95,"Döndüğünüzde kendilerine çıkışmamanız için, Allah'a yemin edeceklerdir. Siz onlardan yüz",Diyanet 1961
1331,9,96,"Kendilerinden hoşnut olasınız diye, size and verirler. Siz onlardan hoşnut olsanı z bile, Allah,",Diyanet 1961
1332,9,97,"Bedevilerin küfür ve nifakları her yönden, daha ileridir. Allah’ın, Peygamberine indirdiğinin",Diyanet 1961
1333,9,98,"Bedevilerden, Allah yolunda sarfettiklerini angarya sayanlar ve sizin başınıza belalar",Diyanet 1961
1334,9,99,"Bedevilerden, Allah'a ve ahiret gününe inanan, sarfettiğini, Allah katında ibadet ve",Diyanet 1961
1335,9,100,"İyilik yarışında önceliği kazanan Muhacirler ve Ensar ile, onlara güzelce uyanlardan Allah",Diyanet 1961
1336,9,101,Çevrenizdeki Bedeviler içinde ikiyüzlüler ve Medine’liler içinde de ikiyüzlülükte direnenler,Diyanet 1961
1337,9,102,"Savaştan geri kalanların bir kısmı da, suçlarını itiraf ettiler. Onlar iyi işi kötüyle",Diyanet 1961
1338,9,103,"Mallarının bir kısmını, kendilerini temizleyip arıtacak sadaka olarak al, onlara dua et; senin",Diyanet 1961
1339,9,104,"Allah'ın, kullarının tevbesini kabul ettiğini, sadakalar aldığını, Allah’ın tevbeleri kabul ve",Diyanet 1961
1340,9,105,"De ki: İstediğinizi işleyin; Allah, Peygamberi ve müminler işlediklerinizi görecektir.",Diyanet 1961
1341,9,106,Savaştan geri kalanların bir kısmının işi de Allah’ın buyruğuna kalmıştır. Allah onlara ya,Diyanet 1961
1342,9,107,"Zarar vermek, inkar etmek, müminlerin arasını ayırmak, Allah ve Peygamber’ine karşı",Diyanet 1961
1343,9,108,O mescide hiç girme! İlk gününden beri Allah’a karşı gelmekten sakınmak için kurulan,Diyanet 1961
1344,9,109,"Yapısını, Allah’tan sakınmak ve Onun hoşnudluğuna ermek için yapan kimse mi daha",Diyanet 1961
1345,9,110,"Yaptıkları bina, kalblerinde şüphe ve ızdırap kaynağı olmakta kalbleri paralanana kadar",Diyanet 1961
1346,9,111,"Allah şüphesiz, Allah yolunda savaşıp, öldüren ve öldürülen müminlerin canlarını ve",Diyanet 1961
1347,9,112,"Allah’a tevbe eden, kullukta bulunan, O’nu öven, O’nun uğrunda gezen, rüku ve secde eden,",Diyanet 1961
1348,9,113,"Cehennemlik oldukları anlaşıldıktan sonra, akraba bile olsalar, puta tapanlar için mağfiret",Diyanet 1961
1349,9,114,"İbrahim’in, babası için mağfiret dilemesi, sadece ona verdiği bir sözden ötürü idi.",Diyanet 1961
1350,9,115,"Allah, bir milleti doğru yola eriştirdikten sonra, sakınacakları şeyleri onlara açıklamadıkça,",Diyanet 1961
1351,9,116,Göklerin ve yerin hükümranlığı elbette Allah’ındır; dirilten ve öldüren O’dur. Allah’tan başka,Diyanet 1961
1352,9,117,"And olsun ki, Allah, sıkıntılı bir zamanda bir kısmının kalbleri kaymak üzere iken",Diyanet 1961
1353,9,118,"Bütün genişliğine rağmen yer onlara dar gelerek nefisleri kendilerini sıkıştırıp, Allah’tan",Diyanet 1961
1354,9,119,Ey inananlar! Allah’tan sakının ve doğrularla beraber olun.,Diyanet 1961
1355,9,120,"Medinelilere ve çevrelerinde bulunan Bedevilere, savaşta Allah’ın Peygamberinden geri",Diyanet 1961
1356,9,121,"Allah, yaptıklarının karşılığını en güzel şekilde kendilerine vermek üzere, az veya çok",Diyanet 1961
1357,9,122,İnananlar toptan savaşa çıkmamalıdır. Her topluluktan bir taifenin dini iyi öğrenmek ve,Diyanet 1961
1358,9,123,Ey inananlar! Yakınınızda bulunan inkarcılarla savaşın; sizi kendilerine karşı sert bulsunlar.,Diyanet 1961
1359,9,124,"Bir sure inince, aralarında ’Bu, hanginizin imanını artırdı?’ diyen ikiyüzlüler vardır.",Diyanet 1961
1360,9,125,Kalblerinde hastalık olanların ise pisliklerine pislik katmıştır; onlar kafir olarak ölmüşlerdir.,Diyanet 1961
1361,9,126,"Onlar, yılda bir iki defa belaya uğratılıp imtihana çekildiklerini görmüyorlar mı? Böyleyken",Diyanet 1961
1362,9,127,"Bir sure inince, 'Sizi bir kimse görüyor mu?’ diye birbirlerine bakarlar, sonra dönüp giderler.",Diyanet 1961
1363,9,128,"Ey inananlar! And olsun ki, içinizden size, sıkıntıya uğramanız kendisine ağır gelen, size",Diyanet 1961
1364,9,129,"Eğer yüz çevirirlerse de ki: 'Allah bana yeter; O’ndan başka tanrı yoktur, yalnız O’na",Diyanet 1961
1365,10,1,"Elif, Lam, Ra. İşte bunlar hikmetli Kitap’ın ayetleridir.",Diyanet 1961
1366,10,2,"İçlerinden birine, 'İnsanları uyar ve inananlara, Rableri katında yüksek makamlar olduğunu",Diyanet 1961
1367,10,3,"Doğrusu sizin Rabbiniz gökleri ve yeri altı günde yaratıp sonra arşa hükmeden, işi",Diyanet 1961
1368,10,4,"Hepinizin dönüşü, O’nadır. Allah’ın vadi haktır. O, önce yaratır, sonra inanıp yararlı işler",Diyanet 1961
1369,10,5,"Güneşi ışıklı ve ayı nurlu yapan; yılların sayısını ve hesabı bilmeniz için, aya konak yerleri",Diyanet 1961
1370,10,6,"Gece ile gündüzün birbiri ardınca gelmesinde, Allah’ın göklerde ve yerde yarattıklarında,",Diyanet 1961
1371,10,7,(7-8) Bizimle karşılaşmayı ummayan ve dünya hayatından hoşnut olup ona bağlananların ve,Diyanet 1961
1372,10,8,(7-8) Bizimle karşılaşmayı ummayan ve dünya hayatından hoşnut olup ona bağlananların ve,Diyanet 1961
1373,10,9,"İnananlar ve yararlı iş yapanları, imanlarına karşılık Rableri doğru yola eriştirir; nimet",Diyanet 1961
1374,10,10,"Oradaki duaları: 'Münezzehsin ey Allah’ım’, dirlik temennileri: 'Selam size' ve dualarının",Diyanet 1961
1375,10,11,"İyiliği acele isteyen kimselere Allah fenalığı da çarçabuk verseydi, süreleri hemen bitmiş",Diyanet 1961
1376,10,12,"İnsana bir darlık gelince, yan yatarken, oturur veya ayakta iken bize yalvarıp yakarır; biz",Diyanet 1961
1377,10,13,"And olsun ki, sizden önce nice nesilleri, peygamberleri onlara belgeler getirmişken,",Diyanet 1961
1378,10,14,"Sonra onların ardından, nasıl davranacağınıza bakmak için sizi yeryüzünde onların yerine",Diyanet 1961
1379,10,15,"Ayetlerimiz onlara açık açık okununca, bizimle karşılaşmayı ummayanlar, 'Bundan başka bir",Diyanet 1961
1380,10,16,"De ki: 'Allah dileseydi ben onu size okumazdım, size de bildirmemiş olurdu. Daha önce",Diyanet 1961
1381,10,17,Allah'a karşı yalan uyduran veya ayetlerini yalan sayandan daha zalim kim olabilir? Suçlular,Diyanet 1961
1382,10,18,"Onlar, Allah’ı bırakarak, kendilerine fayda da zarar da veremeyen putlara taparlar: 'Bunlar,",Diyanet 1961
1383,10,19,"İnsanlar bir tek ümmettiler, sonra ayrılığa düştüler; şayet Rabbinden, daha önce bir takdir",Diyanet 1961
1384,10,20,'Rabbinden ona (Muhammed'e) bir mucize indirilse ne olur!’ derler. Onlara de ki: 'Gaybı,Diyanet 1961
1385,10,21,"İnsanlara darlık geldikten sonra onlara bolluğu taddırdığımızda, hemen ayetlerimize dil",Diyanet 1961
1386,10,22,"Sizi karada ve denizde yürüten Allah'tır. Bulunduğunuz gemi, içindekileri güzel bir rüzgarla",Diyanet 1961
1387,10,23,"Allah onları kurtarınca, hemen yeryüzünde haksız yere taşkınlıklara başlarlar. Ey insanlar!",Diyanet 1961
1388,10,24,"Dünya hayatı gökten indirdiğimiz su gibidir ki, onunla insan ve hayvanların yiyeceği bitkiler",Diyanet 1961
1389,10,25,"Allah, cennete çağırır ve dilediğini doğru yola eriştirir.",Diyanet 1961
1390,10,26,"îyi davrananlara; daima daha iyisi ve üstünü verilir. Onların yüzlerine ne bir karalık, ne de",Diyanet 1961
1391,10,27,Kötülük işleyenlere kötülükleri kadar ceza verilir; onların yüzlerini zillet bürür; Allah'a karşı,Diyanet 1961
1392,10,28,"(28-29) Onların hepsini bir gün toplarız, sonra, puta tapanlara, 'Siz ve putlarınız yerlerinize!",Diyanet 1961
1393,10,29,"(28-29) Onların hepsini bir gün toplarız, sonra, puta tapanlara, 'Siz ve putlarınız yerlerinize!",Diyanet 1961
1394,10,30,îşte orada herkes dünyada yapmış olduğuyla imtihan verir ve gerçek Mevlaları olan Allah’a,Diyanet 1961
1395,10,31,De ki: 'Gökten ve yerden size rızık veren kimdir? Kulak ve gözlerin sahibi kimdir? Diriyi,Diyanet 1961
1396,10,32,îşte gerçek Rabbiniz Allah budur. Gerçeğin dışında sadece sapıklık vardır. Öyleyse nasıl,Diyanet 1961
1397,10,33,"Böylece, fasık olanların inanmayacaklarına dair Rabbinin söylediği söz gerçekleşti.",Diyanet 1961
1398,10,34,"De ki: 'Koştuğunuz ortaklardan, önce yaratan, sonra bunu tekrar eden var mıdır?' De ki:",Diyanet 1961
1399,10,35,De ki: 'Koştuğunuz ortaklardan gerçeğe eriştiren var mıdır?' De ki: 'Ama Allah gerçeğe,Diyanet 1961
1400,10,36,"Onların çoğu zanna uyarlar; gerçekte ise zan, hakikat karşısında bir şey ifade etmez. Allah,",Diyanet 1961
1401,10,37,"Bu Kuran, Allah'tandır, başkası tarafından uydurulmuş değildir. Ancak kendinden öncekini",Diyanet 1961
1402,10,38,"Senin için, 'Onu uydurdu mu?' diyorlar. De ki: 'Onun surelerine benzer bir sure meydana",Diyanet 1961
1403,10,39,"Onlar, ilmini kavrayamadıkları ve henüz yorumu da kendilerine bildirilmemiş olan şeyi",Diyanet 1961
1404,10,40,"Aralarında ona inanan ve inanmayan vardır. Rabbin, bozguncuları daha iyi bilir.",Diyanet 1961
1405,10,41,"Seni yalanlarlarsa, 'Benim yaptığım bana, sizin yaptığınız sizedir; siz benim yaptığımdan",Diyanet 1961
1406,10,42,"Aralarında sana kulak veren vardır. Sen, sağırlara, üstelik akılları da almazsa, işittirebilir",Diyanet 1961
1407,10,43,"Aralarında sana bakan vardır. Sen körleri, gönnezlerken doğru yola iletebilir misin?",Diyanet 1961
1408,10,44,"Allah insanlara hiç zulmetmez, fakat insanlar kendilerine zulmederler.",Diyanet 1961
1409,10,45,"Onları toplayacağı kıyamet günü, sanki gündüz, birbirleriyle sadece tanışacakları bir saat",Diyanet 1961
1410,10,46,"Onlara, söz verdiğimiz azabın bir kısmını ya dünyada sana gösteririz, veya senin ruhunu",Diyanet 1961
1411,10,47,Her ümmetin bir peygamberi vardır. Onlara peygamberleri geldiğinde aralarında adaletle,Diyanet 1961
1412,10,48,"'Bu iddiada samimi iseniz, bu azabın gerçekleşmesi ne zamandır? söyle’ derler.",Diyanet 1961
1413,10,49,De ki: 'Allah’ın dilemesi dışında ben kendime bir fayda ve zarar verecek durumda değilim.,Diyanet 1961
1414,10,50,"De ki: 'Allah’ın azabı size gece veya gündüz gelirse, ne yaparsınız? Suçlular neye bunda",Diyanet 1961
1415,10,51,"Vuku bulduktan sonra mı O’na inanacaksınız? İnanmayanlar azabı görünce, 'şimdi miydi?’",Diyanet 1961
1416,10,52,"Haksızlık edenlere de: 'Sürekli azabı tadın, ancak yaptığınıza karşılık ceza çekiyorsunuz'",Diyanet 1961
1417,10,53,"'O gerçek midir?’ diye senden sorarlar. De ki: 'Evet, Rabbim ha kk ı için o gerçektir, siz aciz",Diyanet 1961
1418,10,54,"Haksızlık etmiş olan her kişi, yeryüzünde olan her şeye sahip olsa, onu azabın fidyesi olarak",Diyanet 1961
1419,10,55,"İyi bilin ki, Allah’ın verdiği söz gerçektir, ama çoğu bunu bilmez.",Diyanet 1961
1420,10,56,Dirilten ve öldüren O'dur. O’na döneceksiniz.,Diyanet 1961
1421,10,57,"Ey insanlar! Rabbinizden size bir öğüt ve kalblerde olana şifa, inananlara doğruyu gösteren",Diyanet 1961
1422,10,58,"De ki: 'Bunlar, Allah’ın bol nimeti ve rahmetiyledir.’ Buna sevinsinler. O, onların",Diyanet 1961
1423,10,59,"De ki: 'Allah’ın size indirdiği rı z kın bir kısmını haram, bir kısmını helal kıldığınızı gönnüyor",Diyanet 1961
1424,10,60,Allah'a karşı yalan uyduranlar kıyamet gününü ne zannederler? Doğrusu Allah’ın insanlara,Diyanet 1961
1425,10,61,Ne iş yaparsan yap ve sizler ona dair Kuran'dan ne okursanız okuyun; ne yaparsanız yapın;,Diyanet 1961
1426,10,62,"İyi bilin ki, Allah’ın dostlarına korku yoktur, onlar üzülmeyeceklerdir.",Diyanet 1961
1427,10,63,Onlar Allah'a inanmış ve O’na karşı gelmekten sakınmışlardır.,Diyanet 1961
1428,10,64,"Dünya hayatında da, ahirette de müjde onlaradır. Allah’ın sözlerinde hiçbir değişme yoktur.",Diyanet 1961
1429,10,65,"İnkarcıların sözleri seni üzmesin, çünkü bütün kudret Allah’ındır. O, işitir ve bilir.",Diyanet 1961
1430,10,66,"İyi bilin ki, göklerde ve yerde kim varsa hepsi Allah’ındır. Allah’ı bırakıp ortak koşanlar",Diyanet 1961
1431,10,67,Size geceyi dinlenesiniz diye karanlık ve gündüzü çalışasınız diye aydınlık olarak yaratan,Diyanet 1961
1432,10,68,'Allah çocuk edindi’ dediler; haşa; O müstağnidir; göklerde ve yerde olanlara sahiptir.,Diyanet 1961
1433,10,69,"De ki: 'Allah’a karşı yalan uyduranlar, kurtuluşa erişemezler.’",Diyanet 1961
1434,10,70,"Onlar için dünyada bir müddet geçinme vardır, sonra dönüşleri Bizedir. İnkarlarına karşılık",Diyanet 1961
1435,10,71,"Onlara Nuh'un başından geçenleri anlat: Milletine, 'Ey milletim! Eğer durumum, Allah’ın",Diyanet 1961
1436,10,72,"'Eğer yüz çevirirseniz bilin ki, ben sizden bir ücret istemiyorum. Benim ecrim Allah'a aiddir.",Diyanet 1961
1437,10,73,Onu yalancı saydılar; ama Biz onu ve gemide beraberinde bulunanları kurtardık. Onları,Diyanet 1961
1438,10,74,"Sonra onun ardından milletlere peygamberler gönderdik, onlara belgeler getirdiler.",Diyanet 1961
1439,10,75,Onların ardından da Firavun ve erkanına ayetlerimizle Musa ve Harun'u gönderdik. Ama,Diyanet 1961
1440,10,76,"Gerçek, katımızdan onlara gelince: 'Doğrusu bu apaçık bir büyüdür’ dediler.",Diyanet 1961
1441,10,77,Musa: 'Size gelen gerçeğe dil mi uzatırsınız? Bu sihir midir? Sihirbazlar zaten başarı,Diyanet 1961
1442,10,78,"'Siz ikiniz, bizi babalarımızı üzerinde bulduğumuz yoldan çevirmek ve yeryüzünün",Diyanet 1961
1443,10,79,Firavun: 'Bütün bilgin sihirbazları bana getirin’ dedi.,Diyanet 1961
1444,10,80,Sihirbazlar gelince Musa onlara: 'Atacağınızı atın’ dedi.,Diyanet 1961
1445,10,81,"(81-82) Attıklarında, Musa: 'Yaptığınız sihirdir, fakat Allah onu boşa çıkaracaktır. Allah",Diyanet 1961
1446,10,82,"(81-82) Attıklarında, Musa: 'Yaptığınız sihirdir, fakat Allah onu boşa çıkaracaktır. Allah",Diyanet 1961
1447,10,83,"Firavun ve erkanının kendilerine fenalık yapmasından korktuklarından, milletinin bir kısım",Diyanet 1961
1448,10,84,Musa: 'Ey milletim! Allah'a inanıyorsanız ve teslim olmuşsanız O'na güvenin’ dedi.,Diyanet 1961
1449,10,85,"(85-86) 'Allah’a güvendik; Ey Rabbimiz! Zalim bir millet ile bizi sınama, rahmetinle bizi",Diyanet 1961
1450,10,86,"(85-86) 'Allah'a güvendik; Ey Rabbimiz! Zalim bir millet ile bizi sınama, rahmetinle bizi",Diyanet 1961
1451,10,87,"Musa ve kardeşine: 'Mısır’da milletini z e evler hazırlayın; evlerini z i namazgah edinin, namaz",Diyanet 1961
1452,10,88,Musa: 'Rabbimiz! Doğrusu sen Firavun'a ve erkanına ziynetler ve dünya hayatında mallar,Diyanet 1961
1453,10,89,Allah: 'İkinizin duası kabul olundu. Dürüst hareket edin; bilmeyenlerin yoluna asla uymayın',Diyanet 1961
1454,10,90,"İsrailoğullarım denizden geçirdik, Firavun ve askerleri haksızlık ve düşmanlıkla ardlarına",Diyanet 1961
1455,10,91,O’na: 'Şimdi mi inandın? Daha önce baş kaldırmış ve bozgunculuk etmiştin’ dendi.,Diyanet 1961
1456,10,92,'Senden sonrakilere bir ibret teşkil etmesi için bugün sadece senin cesedini çıkarıp (sahile),Diyanet 1961
1457,10,93,"And olsun ki, İsrailoğullarım iyi bir yere yerleştirdik, onlara temiz rızıklar verdik,",Diyanet 1961
1458,10,94,"Sana indirdiğimizden şüphede isen, senden önce indirdiğimiz Kitapları okuyanlara sor. And",Diyanet 1961
1459,10,95,"Allah’ın ayetlerini yalanlayanlardan da olma, yoksa kaybedenlerden olursun.",Diyanet 1961
1460,10,96,"(96-97) Doğrusu Rabbinin söz verdiği azabı hak edenler, can yakıcı azabı görene kadar",Diyanet 1961
1461,10,97,"(96-97) Doğrusu Rabbinin söz verdiği azabı hak edenler, can yakıcı azabı görene kadar",Diyanet 1961
1462,10,98,"Bir kent halkı inanmalı değil miydi ki, imanları kendilerine fayda versin! İşte Yunus'un",Diyanet 1961
1463,10,99,"Rabbin dileseydi, yeryüzünde bulunanların hepsi inanırdı. Öyle iken insanları inanmaya sen",Diyanet 1961
1464,10,100,"Allah’ın izni olmadıkça hiç kimse inanamaz. O, aklını kullanmayanlara kötü bir azab verir.",Diyanet 1961
1465,10,101,"'Göklerde ve yerde neler var, bir bakın’ de. İnanmayacak bir millete ayetler ve uyarmalar",Diyanet 1961
1466,10,102,Kendilerinden önce geçenlerin başlarına gelen olaylardan başka bir şey mi bekliyorlar?,Diyanet 1961
1467,10,103,"Sonra Biz, peygamberlerimizi ve inananları böylece kurtarırız, inananları (verdiğimiz söz",Diyanet 1961
1468,10,104,De ki: 'Ey insanlar! Benim dinimden şüphede iseniz bilin ki ben Allah'tan başka,Diyanet 1961
1469,10,105,"(105-106) (Muhammed’e) 'Yüzünü, doğruya yönelmiş olarak dine çevir, sakın ortak",Diyanet 1961
1470,10,106,"(105-106) (Muhammed’e) 'Yüzünü, doğruya yönelmiş olarak dine çevir, sakın ortak",Diyanet 1961
1471,10,107,"Allah sana bir sıkıntı verirse, onu O’ndan başkası gideremez. Sana bir iyilik dilerse O’nun",Diyanet 1961
1472,10,108,De ki: 'Ey insanlar! Rabbinizden size gerçek gelmiştir. Doğru yola giren ancak kendisi için,Diyanet 1961
1473,10,109,"Sana vahyedilene uy; Allah hükmünü verene kadar sabret. O, hüküm verenlerin en iyisidir.",Diyanet 1961
1474,11,1,"(1-3) /--. Elif, Lam, Ra. Bu Kitap, hakim ve haberdar olan Allah tarafından, Allah'tan",Diyanet 1961
1475,11,2,"(1-3) /—. Elif, Lam, Ra. Bu Kitap, hakim ve haberdar olan Allah tarafından, Allah'tan",Diyanet 1961
1476,11,3,"(1-3) /--. Elif, Lam, Ra. Bu Kitap, hakim ve haberdar olan Allah tarafından, Allah’tan",Diyanet 1961
1477,11,4,Dönüşünüz ancak Allah’adır. O her şeye Kadir'dir.,Diyanet 1961
1478,11,5,"Bilin ki, onlar Kuran okunurken gizlenmek için iki büklüm olurlar. Bilin ki, elbiselerine",Diyanet 1961
1479,11,6,"Yeryüzünde yaşayan bütün canlıların rızkı ancak Allah'a aittir. O, canlıları babaların",Diyanet 1961
1480,11,7,"Arş'ı su üzerinde iken, hanginizin daha güzel işi işleyeceğini ortaya koymak için, gökleri ve",Diyanet 1961
1481,11,8,"And olsun ki, onların azabını sayılı bir süreye kadar ertelesek, 'Onu alıkoyan nedir?’ derler.",Diyanet 1961
1482,11,9,"And olsun ki, insana nimetimizi tattırır sonra onu ondan çekip alırsak, o şüphesiz umutsuz",Diyanet 1961
1483,11,10,"Başına gelen sıkıntıdan sonra, ona bir nimet tattırırsak, 'Musibetler başımdan gitti' der;",Diyanet 1961
1484,11,11,"Bunların dışında, sabredip iyi işler işleyen kimseler, işte onlara mağfiret ve büyük ecir",Diyanet 1961
1485,11,12,Putperestlerin: 'Ona bir hazine indirilmeli veya yanında bir melek gelmeli değil miydi?’,Diyanet 1961
1486,11,13,"Senin için: 'Onu uydurdu' diyorlar, öyle mi? De ki: 'Öyleyse onun surelerine benzer uydurma",Diyanet 1961
1487,11,14,"Söylediğinizi yapamazlarsa, bilin ki o, ancak Allah’ın ilmiyle indirilmiştir. O’ndan başka",Diyanet 1961
1488,11,15,"Dünya hayatını ve güzelliklerini isteyenlere, orada işlediklerinin karşılığını tastamam",Diyanet 1961
1489,11,16,İşte ahirette onlara ateşten başka bir şey yoktur. İşledikleri şeyler orada boşa gitmiştir. Zaten,Diyanet 1961
1490,11,17,"Rabbinin katından bir belgesi ve onun arkasından da bir şahidi olanlar, önlerinde de",Diyanet 1961
1491,11,18,Yalan söyleyerek Allah'a iftira edenden daha zalim kim vardır? İşte bunlar Rablerine,Diyanet 1961
1492,11,19,Bunlar Allah’ın yolundan alıkorlar ve o yolu eğriltmeğe çalışırlar; işte onlar ahireti inkar,Diyanet 1961
1493,11,20,Bunlar yeryüzünde Allah’ı aciz bırakamazlar. Allah’dan başka kendilerini kurtaracak dostları,Diyanet 1961
1494,11,21,İşte bunlar kendilerine yazık edenlerdir. Uydurdukları putlar da onlardan uzaklaşıp,Diyanet 1961
1495,11,22,Ahirette en çok kayba uğrayacaklar şüphesiz bunlardır.,Diyanet 1961
1496,11,23,"Doğrusu inanan ve yararlı iş yapanlar ve Rablerine boyun eğenler, işte onlar cennetliklerdir;",Diyanet 1961
1497,11,24,"Bu iki zümrenin durumu, kör ve sağır kimse ile gören ve işiten kimsenin durumuna benzer.",Diyanet 1961
1498,11,25,(25-26) And olsun ki biz Nuh'u kendi milletine gönderdik; 'Ben sizin için apaçık bir,Diyanet 1961
1499,11,26,(25-26) And olsun ki biz Nuh'u kendi milletine gönderdik; 'Ben sizin için apaçık bir,Diyanet 1961
1500,11,27,Milletinin inkarcı ileri gelenleri: 'Senin ancak kendimiz gibi bir insan olduğunu görüyoruz.,Diyanet 1961
1501,11,28,Nuh: 'Ey milletim! Rabbimin katından bir delilim bulunsa ve bana yine katından bir rahmet,Diyanet 1961
1502,11,29,'Ey milletim! Buna karşılık ben sizden bir mal da istemiyorum. Benim ücretim Allah’a aittir;,Diyanet 1961
1503,11,30,"'Ey milletim! Onları kovarsam, Allah'a karşı beni kim savunur? Düşünmez misiniz?'",Diyanet 1961
1504,11,31,"'Size, Allah’ın hâzineleri yanlındadır demiyorum; gaybı da bilmem; doğrusu melek",Diyanet 1961
1505,11,32,'Ey Nuh! Bizimle cidden tartıştın; hem de çok tartıştın. Doğru sözlülerden isen tehdit ettiğin,Diyanet 1961
1506,11,33,"(33-34) 'Ancak Allah dilerse onu başınıza getirir, siz O’nu aciz bırakamazsınız. Allah sizi",Diyanet 1961
1507,11,34,"(33-34) 'Ancak Allah dilerse onu başınıza getirir, siz O’nu aciz bırakamazsınız. Allah sizi",Diyanet 1961
1508,11,35,"Sana ’Kuran’ı kendiliğinden uydurdu' derler, de ki: 'Uydurdumsa suçu bana aittir; oysa ben",Diyanet 1961
1509,11,36,"(36-37) Nuh'a, 'Senin milletinden, inanmış olanlardan başkası inanmayacaktır; onların",Diyanet 1961
1510,11,37,"(36-37) Nuh'a, 'Senin milletinden, inanmış olanlardan başkası inanmayacaktır; onların",Diyanet 1961
1511,11,38,"(38-39) Gemiyi yaparken, milletinin inkarcı ileri gelenleri yanına uğradıkça onunla alay",Diyanet 1961
1512,11,39,"(38-39) Gemiyi yaparken, milletinin inkarcı ileri gelenleri yanına uğradıkça onunla alay",Diyanet 1961
1513,11,40,"Buyruğumuz gelip tandırdan sular kaynamağa başlayınca, 'Her cinsten birer çifti ve aleyhine",Diyanet 1961
1514,11,41,"Allah 'Oraya binin; yürümesi ve durması Allah’ın ismiyledir, Rabbin bağışlar ve merhamet",Diyanet 1961
1515,11,42,"Gemi, dağlar gibi dalgalar içinde onları götürürken, Nuh, bir kenarda ayrı kalmış olan",Diyanet 1961
1516,11,43,"Oğlu: 'Dağa sığınırım, beni sudan kurtarır’ deyince, Nuh: 'Bugün Allah’ın buyruğundan",Diyanet 1961
1517,11,44,"Yere, 'Suyunu çek!', göğe, 'Ey gök sen de tut!’ denildi. Su çekildi, iş de bitti; gemi Cudi'ye",Diyanet 1961
1518,11,45,Nuh Rabbine seslendi: ’Rabbim! Oğlum benim ademdendi. Doğrusu Senin vadin haktır. Sen,Diyanet 1961
