Sıra,Sure,Ayet,Metin,Hoca
416,3,123,veleḳad neṣarakumu-llâhu bibedriv veentum eẕilleh. fetteḳu-llâhe le`allekum teşkurûn.,Abay Yazılışı
417,3,124,iẕ teḳûlu lilmu'minîne eley yekfiyekum ey yumiddekum rabbukum biŝelâŝeti âlâfim mine-lmelâiketi munzelîn.,Abay Yazılışı
418,3,125,belâ in taṣbirû vetetteḳû veye'tûkum min fevrihim hâẕâ yumdidkum rabbukum biḫamseti âlâfim mine-lmelâiketi musevvimîn.,Abay Yazılışı
419,3,126,vemâ ce`alehu-llâhu illâ buşrâ lekum velitaṭmeinne ḳulûbukum bih. veme-nnaṣru illâ min `indi-llâhi-l`azîzi-lḥakîm.,Abay Yazılışı
420,3,127,liyaḳṭa`a ṭarafem mine-lleẕîne keferû ev yekbitehum feyenḳalibû ḫâibîn.,Abay Yazılışı
421,3,128,leyse leke mine-l'emri şey'un ev yetûbe `aleyhim ev yu`aẕẕibehum feinnehum żâlimûn.,Abay Yazılışı
422,3,129,velillâhi mâ fi-ssemâvâti vemâ fi-l'arḍ. yagfiru limey yeşâu veyu`aẕẕibu mey yeşâ'. vellâhu gafûrur raḥîm.,Abay Yazılışı
423,3,130,yâ eyyuhe-lleẕîne âmenû lâ te'kulu-rribâ aḍ`âfem muḍâ`afeh. vetteḳu-llâhe le`allekum tufliḥûn.,Abay Yazılışı
424,3,131,vetteḳu-nnâra-lletî u`iddet lilkâfirîn.,Abay Yazılışı
425,3,132,veeṭî`u-llâhe verrasûle le`allekum turḥamûn.,Abay Yazılışı
426,3,133,vesâri`û ilâ magfiratim mir rabbikum vecennetin `arḍuhe-ssemâvâtu vel'arḍu u`iddet lilmutteḳîn.,Abay Yazılışı
427,3,134,elleẕîne yunfiḳûne fi-sserrâi veḍḍarrâi velkâżimîne-lgayża vel`âfîne `ani-nnâs. vellâhu yuḥibbu-lmuḥsinîn.,Abay Yazılışı
428,3,135,velleẕîne iẕâ fe`alû fâḥişeten ev żalemû enfusehum ẕekeru-llâhe festagferû liẕunûbihim. vemey yagfiru-ẕẕunûbe ille-llâh. velem yuṣirrû `alâ mâ fe`alû vehum ya`lemûn.,Abay Yazılışı
429,3,136,ulâike cezâuhum magfiratum mir rabbihim vecennâtun tecrî min taḥtihe-l'enhâru ḫâlidîne fîhâ. veni`me ecru-l`âmilîn.,Abay Yazılışı
430,3,137,ḳad ḫalet min ḳablikum sunenun fesîrû fi-l'arḍi fenżurû keyfe kâne `âḳibetu-lmukeẕẕibîn.,Abay Yazılışı
431,3,138,hâẕâ beyânul linnâsi vehudev vemev`iżatul lilmutteḳîn.,Abay Yazılışı
432,3,139,velâ tehinû velâ taḥzenû veentumu-l'a`levne in kuntum mu'minîn.,Abay Yazılışı
433,3,140,iy yemseskum ḳarḥun feḳad messe-lḳavme ḳarḥum miŝluh. vetilke-l'eyyâmu nudâviluhâ beyne-nnâs. veliya`leme-llâhu-lleẕîne âmenû veyetteḫiẕe minkum şuhedâ'. vellâhu lâ yuḥibbu-żżâlimîn.,Abay Yazılışı
434,3,141,veliyumeḥḥiṣa-llâhu-lleẕîne âmenû veyemḥaḳa-lkâfirîn.,Abay Yazılışı
435,3,142,em ḥasibtum en tedḫulu-lcennete velemmâ ya`lemi-llâhu-lleẕîne câhedû minkum veya`leme-ṣṣâbirîn.,Abay Yazılışı
436,3,143,veleḳad kuntum temennevne-lmevte min ḳabli en telḳavh. feḳad raeytumûhu veentum tenżurûn.,Abay Yazılışı
437,3,144,vemâ muḥammedun illâ rasûl. ḳad ḫalet min ḳablihi-rrusul. efeim mâte ev ḳutile-nḳalebtum `alâ a`ḳâbikum. vemey yenḳalib `alâ `aḳibeyhi feley yeḍurra-llâhe şey'â. veseyeczi-llâhu-şşâkirîn.,Abay Yazılışı
438,3,145,vemâ kâne linefsin en temûte illâ biiẕni-llâhi kitâbem mueccelâ. vemey yurid ŝevâbe-ddunyâ nu'tihî minhâ. vemey yurid ŝevâbe-l'âḫirati nu'tihî minhâ. veseneczi-şşâkirîn.,Abay Yazılışı
439,3,146,vekeeyyim min nebiyyin ḳâtele me`ahû ribbiyyûne keŝîr. femâ vehenû limâ eṣâbehum fî sebîli-llâhi vemâ ḍa`ufû veme-stekânû. vellâhu yuḥibbu-ṣṣâbirîn.,Abay Yazılışı
440,3,147,vemâ kâne ḳavlehum illâ en ḳâlû rabbene-gfir lenâ ẕunûbenâ veisrâfenâ fî emrinâ veŝebbit aḳdâmenâ venṣurnâ `ale-lḳavmi-lkâfirîn.,Abay Yazılışı
441,3,148,feâtâhumu-llâhu ŝevâbe-ddunyâ veḥusne ŝevâbi-l'âḫirah. vellâhu yuḥibbu-lmuḥsinîn.,Abay Yazılışı
442,3,149,yâ eyyuhe-lleẕîne âmenû in tuṭî`u-lleẕîne keferû yeruddûkum `alâ a`ḳâbikum fetenḳalibû ḫâsirîn.,Abay Yazılışı
443,3,150,beli-llâhu mevlâkum. vehuve ḫayru-nnâṣirîn.,Abay Yazılışı
444,3,151,senulḳî fî ḳulûbi-lleẕîne keferu-rru`be bimâ eşrakû billâhi mâ lem yunezzil bihî sulṭânâ. veme'vâhumu-nnâr. vebi'se meŝve-żżâlimîn.,Abay Yazılışı
445,3,152,veleḳad ṣadeḳakumu-llâhu va`dehû iẕ teḥussûnehum biiẕnih. ḥattâ iẕâ feşiltum vetenâza`tum fi-l'emri ve`aṣaytum mim ba`di mâ erâkum mâ tuḥibbûn. minkum mey yurîdu-ddunyâ veminkum mey yurîdu-l'âḫirah. ŝumme ṣarafekum `anhum liyebteliyekum. veleḳad `afâ `ankum. vellâhu ẕû faḍlin `ale-lmu'minîn.,Abay Yazılışı
446,3,153,iẕ tuṣ`idûne velâ telvûne `alâ eḥadiv verrasûlu yed`ûkum fî uḫrâkum feeŝâbekum gammem bigammil likeylâ taḥzenû `alâ mâ fâtekum velâ mâ eṣâbekum. vellâhu ḫabîrum bimâ ta`melûn.,Abay Yazılışı
447,3,154,ŝumme enzele `aleykum mim ba`di-lgammi emeneten nu`âsey yagşâ ṭâifetem minkum veṭâifetun ḳad ehemmethum enfusuhum yeżunnûne billâhi gayra-lḥaḳḳi żanne-lcâhiliyyeh. yeḳûlûne hel lenâ min-l'emri min şey'. ḳul inne-l'emra kullehû lillâh. yuḫfûne fî enfusihim mâ lâ yubdûne lek. yeḳûlûne lev kâne lenâ mine-l'emri şey'um mâ ḳutilnâ hâhunâ. ḳul lev kuntum fî buyûtikum leberaze-lleẕîne kutibe `aleyhimu-lḳatlu ilâ meḍâci`ihim. veliyebteliye-llâhu mâ fî ṣudûrikum veliyumeḥḥiṣa mâ fî ḳulûbikum. vellâhu `alîmum biẕâti-ṣṣudûr.,Abay Yazılışı
448,3,155,inne-lleẕîne tevellev minkum yevme-lteḳe-lcem`âni inneme-stezellehumu-şşeyṭânu biba`ḍi mâ kesebû. veleḳad `afe-llâhu `anhum. inne-llâhe gafûrun ḥalîm.,Abay Yazılışı
449,3,156,yâ eyyuhe-lleẕîne âmenû lâ tekûnû kelleẕîne keferû veḳâlû liiḫvânihim iẕâ ḍarabû fi-l'arḍi ev kânû guzzel lev kânû `indenâ mâ mâtû vemâ ḳutilû. liyec`ale-llâhu ẕâlike ḥasraten fî ḳulûbihim. vellâhu yuḥyî veyumît. vellâhu bimâ ta`melûne beṣîr.,Abay Yazılışı
450,3,157,velein ḳutiltum fî sebîli-llâhi ev muttum lemagfiratum mine-llâhi veraḥmetun ḫayrum mimmâ yecme`ûn.,Abay Yazılışı
451,3,158,veleim muttum ev ḳutiltum leile-llâhi tuḥşerûn.,Abay Yazılışı
452,3,159,febimâ raḥmetim mine-llâhi linte lehum. velev kunte feżżan galîża-lḳalbi lenfeḍḍû min ḥavlik. fa`fu `anhum vestagfir lehum veşâvirhum fi-l'emr. feiẕâ `azemte fetevekkel `ale-llâh. inne-llâhe yuḥibbu-lmutevekkilîn.,Abay Yazılışı
453,3,160,iy yenṣurkumu-llâhu felâ gâlibe lekum. veiy yaḫẕulkum femen ẕe-lleẕî yenṣurukum mim ba`dih. ve`ale-llâhi felyetevekkeli-lmu'minûn.,Abay Yazılışı
454,3,161,vemâ kâne linebiyyin ey yegull. vemey yaglul ye'ti bimâ galle yevme-lḳiyâmeh. ŝumme tuveffâ kullu nefsim mâ kesebet vehum lâ yużlemûn.,Abay Yazılışı
455,3,162,efemeni-ttebe`a riḍvâne-llâhi kemem bâe biseḫaṭim mine-llâhi veme'vâhu cehennem. vebi'se-lmeṣîr.,Abay Yazılışı
456,3,163,hum deracâtun `inde-llâh. vellâhu beṣîrum bimâ ya`melûn.,Abay Yazılışı
457,3,164,leḳad menne-llâhu `ale-lmu'minîne iẕ be`aŝe fîhim rasûlem min enfusihim yetlû `aleyhim âyâtihî veyuzekkîhim veyu`allimuhumu-lkitâbe velḥikmeh. vein kânû min ḳablu lefî ḍalâlim mubîn.,Abay Yazılışı
458,3,165,evelemmâ eṣâbetkum muṣîbetun ḳad eṣabtum miŝleyhâ ḳultum ennâ hâẕâ. ḳul huve min `indi enfusikum. inne-llâhe `alâ kulli şey'in ḳadîr.,Abay Yazılışı
459,3,166,vemâ eṣâbekum yevme-lteḳe-lcem`âni febiiẕni-llâhi veliya`leme-lmu'minîn.,Abay Yazılışı
460,3,167,veliya`leme-lleẕîne nâfeḳû. veḳîle lehum te`âlev ḳâtilû fî sebîli-llâhi evi-dfe`û. ḳâlû lev na`lemu ḳitâlel letteba`nâkum. hum lilkufri yevmeiẕin aḳrabu minhum lil'îmân. yeḳûlûne biefvâhihim mâ leyse fî ḳulûbihim. vellâhu a`lemu bimâ yektumûn.,Abay Yazılışı
461,3,168,elleẕîne ḳâlû liiḫvânihim veḳa`adû lev eṭâ`ûnâ mâ ḳutilû. ḳul fedraû `an enfusikumu-lmevte in kuntum ṣâdiḳîn.,Abay Yazılışı
462,3,169,velâ taḥsebenne-lleẕîne ḳutilû fî sebîli-llâhi emvâtâ. bel aḥyâun `inde rabbihim yurzeḳûn.,Abay Yazılışı
463,3,170,feriḥîne bimâ âtâhumu-llâhu min faḍlihî veyestebşirûne billeẕîne lem yelḥaḳû bihim min ḫalfihim ellâ ḫavfun `aleyhim velâ hum yaḥzenûn.,Abay Yazılışı
464,3,171,yestebşirûne bini`metim mine-llâhi vefaḍliv veenne-llâhe lâ yuḍî`u ecra-lmu'minîn.,Abay Yazılışı
465,3,172,elleẕîne-stecâbû lillâhi verrasûli mim ba`di mâ eṣâbehumu-lḳarḥ. lilleẕîne aḥsenû minhum vetteḳav ecrun `ażîm.,Abay Yazılışı
466,3,173,elleẕîne ḳâle lehumu-nnâsu inne-nnâse ḳad ceme`û lekum faḫşevhum fezâdehum îmânâ. veḳâlû ḥasbune-llâhu veni`me-lvekîl.,Abay Yazılışı
467,3,174,fenḳalebû bini`metim mine-llâhi vefaḍlil lem yemseshum sûuv vettebe`û riḍvâne-llâh. vellâhu ẕû faḍlin `ażîm.,Abay Yazılışı
468,3,175,innemâ ẕâlikumu-şşeyṭânu yuḫavvifu evliyâeh. felâ teḫâfûhum veḫâfûni in kuntum mu'minîn.,Abay Yazılışı
469,3,176,velâ yaḥzunke-lleẕîne yusâri`ûne fi-lkufr. innehum ley yeḍurru-llâhe şey'â. yurîdu-llâhu ellâ yec`ale lehum ḥażżan fi-l'âḫirah. velehum `aẕâbun `ażîm.,Abay Yazılışı
470,3,177,inne-lleẕîne-şteravu-lkufra bil'îmâni ley yeḍurru-llâhe şey'en. velehum `aẕâbun elîm.,Abay Yazılışı
471,3,178,velâ yaḥsebenne-lleẕîne keferû ennemâ numlî lehum ḫayrul lienfusihim. innemâ numlî lehum liyezdâdû iŝmâ. velehum `aẕâbum muhîn.,Abay Yazılışı
472,3,179,mâ kâne-llâhu liyeẕera-lmu'minîne `alâ mâ entum `aleyhi ḥattâ yemîze-lḫabîŝe mine-ṭṭayyib. vemâ kâne-llâhu liyuṭli`akum `ale-lgaybi velâkinne-llâhe yectebî mir rusulihî mey yeşâu feâminû billâhi verusulih. vein tu'minû vetetteḳû felekum ecrun `ażîm.,Abay Yazılışı
473,3,180,velâ yaḥsebenne-lleẕîne yebḫalûne bimâ âtâhumu-llâhu min faḍlihî huve ḫayral lehum. bel huve şerrul lehum. seyuṭavveḳûne mâ beḫilû bihî yevme-lḳiyâmeh. velillâhi mîrâŝu-ssemâvâti vel'arḍ. vellâhu bimâ ta`melûne ḫabîr.,Abay Yazılışı
474,3,181,leḳad semi`a-llâhu ḳavle-lleẕîne ḳâlû inne-llâhe feḳîruv venaḥnu agniyâ'. senektubu mâ ḳâlû veḳatlehumu-l'embiyâe bigayri ḥaḳḳiv veneḳûlu ẕûḳû `aẕâbe-lḥarîḳ.,Abay Yazılışı
475,3,182,ẕâlike bimâ ḳaddemet eydîkum veenne-llâhe leyse biżallâmil lil`abîd.,Abay Yazılışı
476,3,183,elleẕîne ḳâlû inne-llâhe `ahide ileynâ ellâ nu'mine lirasûlin ḥattâ ye'tiyenâ biḳurbânin te'kuluhu-nnâr. ḳul ḳad câekum rusulum min ḳablî bilbeyyinâti vebilleẕî ḳultum felime ḳateltumûhum in kuntum ṣâdiḳîn.,Abay Yazılışı
477,3,184,fein keẕẕebûke feḳad kuẕẕibe rusulum min ḳablike câû bilbeyyinâti vezzuburi velkitâbi-lmunîr.,Abay Yazılışı
478,3,185,kullu nefsin ẕâiḳatu-lmevt. veinnemâ tuveffevne ucûrakum yevme-lḳiyâmeh. femen zuḥziḥa `ani-nnâri veudḫile-lcennete feḳad fâz. veme-lḥayâtu-ddunyâ illâ metâ`u-lgurûr.,Abay Yazılışı
479,3,186,letublevunne fî emvâlikum veenfusikum veletesme`unne mine-lleẕîne ûtu-lkitâbe min ḳablikum vemine-lleẕîne eşrakû eẕen keŝîrâ. vein taṣbirû vetetteḳû feinne ẕâlike min `azmi-l'umûr.,Abay Yazılışı
480,3,187,veiẕ eḫaẕe-llâhu mîŝâḳa-lleẕîne ûtu-lkitâbe letubeyyinunnehû linnâsi velâ tektumûneh. fenebeẕûhu verâe żuhûrihim veşterav bihî ŝemenen ḳalîlâ. febi'se mâ yeşterûn.,Abay Yazılışı
481,3,188,lâ taḥsebenne-lleẕîne yefraḥûne bimâ etev veyuḥibbûne ey yuḥmedû bimâ lem yef`alû felâ taḥsebennehum bimefâzetim mine-l`aẕâb. velehum `aẕâbun elîm.,Abay Yazılışı
482,3,189,velillâhi mulku-ssemâvâti vel'arḍ. vellâhu `alâ kulli şey'in ḳadîr.,Abay Yazılışı
483,3,190,inne fî ḫalḳi-ssemâvâti vel'arḍi vaḫtilâfi-lleyli vennehâri leâyâtil liuli-l'elbâb.,Abay Yazılışı
484,3,191,elleẕîne yeẕkurûne-llâhe ḳiyâmev veḳu`ûdev ve`alâ cunûbihim veyetefekkerûne fî ḫalḳi-ssemâvâti vel'arḍ. rabbenâ mâ ḫalaḳte hâẕâ bâṭilâ. subḥâneke feḳinâ `aẕâbe-nnâr.,Abay Yazılışı
485,3,192,rabbenâ inneke men tudḫili-nnâra feḳad aḫzeyteh. vemâ liżżâlimîne min enṣâr.,Abay Yazılışı
486,3,193,rabbenâ innenâ semi`nâ munâdiyey yunâdî lil'îmâni en âminû birabbikum feâmennâ. rabbenâ fagfir lenâ ẕunûbenâ vekeffir `annâ seyyiâtinâ veteveffenâ me`a-l'ebrâr.,Abay Yazılışı
487,3,194,rabbenâ veâtinâ mâ ve`attenâ `alâ rusulike velâ tuḫzinâ yevme-lḳiyâmeh. inneke lâ tuḫlifu-lmî`âd.,Abay Yazılışı
488,3,195,festecâbe lehum rabbuhum ennî lâ uḍî`u `amele `âmilim minkum min ẕekerin ev unŝâ. ba`ḍukum mim ba`ḍ. felleẕîne hâcerû veuḫricû min diyârihim veûẕû fî sebîlî veḳâtelû veḳutilû leukeffiranne `anhum seyyiâtihim veleudḫilennehum cennâtin tecrî min taḥtihe-l'enhâr. ŝevâbem min `indi-llâh. vellâhu `indehû ḥusnu-ŝŝevâb.,Abay Yazılışı
489,3,196,lâ yegurranneke teḳallubu-lleẕîne keferû fi-lbilâd.,Abay Yazılışı
490,3,197,metâ`un ḳalîlun ŝumme me'vâhum cehennem. vebi'se-lmihâd.,Abay Yazılışı
491,3,198,lâkini-lleẕîne-tteḳav rabbehum lehum cennâtun tecrî min taḥtihe-l'enhâru ḫâlidîne fîhâ nuzulem min `indi-llâh. vemâ `inde-llâhi ḫayrul lil'ebrâr.,Abay Yazılışı
492,3,199,veinne min ehli-lkitâbi lemey yu'minu billâhi vemâ unzile ileykum vemâ unzile ileyhim ḫâşi`îne lillâhi lâ yeşterûne biâyâti-llâhi ŝemenen ḳalîlâ. ulâike lehum ecruhum `inde rabbihim. inne-llâhe serî`u-lḥisâb.,Abay Yazılışı
493,3,200,yâ eyyuhe-lleẕîne âmenu-ṣbirû veṣâbirû verâbiṭû vetteḳu-llâhe le`allekum tufliḥûn.,Abay Yazılışı
494,4,1,yâ eyyuhe-nnâsu-tteḳû rabbekumu-lleẕî ḫaleḳakum min nefsiv vâḥidetiv veḫaleḳa minhâ zevcehâ vebeŝŝe minhumâ ricâlen keŝîrav venisââ. vetteḳu-llâhe-lleẕî tesâelûne bihî vel'erḥâm. inne-llâhe kâne `aleykum raḳîbâ.,Abay Yazılışı
495,4,2,veâtu-lyetâmâ emvâlehum velâ tetebeddelu-lḫabîŝe biṭṭayyib. velâ te'kulû emvâlehum ilâ emvâlikum. innehû kâne ḥûben kebîrâ.,Abay Yazılışı
496,4,3,vein ḫiftum ellâ tuḳsiṭû fi-lyetâmâ fenkiḥû mâ ṭâbe lekum mine-nnisâi meŝnâ veŝulâŝe verubâ`. fein ḫiftum ellâ ta`dilû fevâḥideten ev mâ meleket eymânukum. ẕâlike ednâ ellâ te`ûlû.,Abay Yazılışı
497,4,4,veâtu-nnisâe ṣaduḳâtihinne niḥleh. fein ṭibne lekum `an şey'im minhu nefsen fekulûhu henîem merîâ.,Abay Yazılışı
498,4,5,velâ tu'tu-ssufehâe emvâlekumu-lletî ce`ale-llâhu lekum ḳiyâmev verzuḳûhum fîhâ veksûhum veḳûlû lehum ḳavlem ma`rûfâ.,Abay Yazılışı
499,4,6,vebtelu-lyetâmâ ḥattâ iẕâ belegu-nnikâḥ. fein ânestum minhum ruşden fedfe`û ileyhim emvâlehum. velâ te'kulûhâ isrâfev vebidâran ey yekberû. vemen kâne ganiyyen felyesta`fif. vemen kâne feḳîran felye'kul bilma`rûf. feiẕâ defa`tum ileyhim emvâlehum feeşhidû `aleyhim. vekefâ billâhi ḥasîbâ.,Abay Yazılışı
500,4,7,lirricâli neṣîbum mimmâ terake-lvâlidâni vel'aḳrabûn. velinnisâi neṣîbum mimmâ terake-lvâlidâni vel'aḳrabûne mimmâ ḳalle minhu ev keŝur. neṣîbem mefrûḍâ.,Abay Yazılışı
501,4,8,veiẕâ ḥaḍara-lḳismete ulu-lḳurbâ velyetâmâ velmesâkînu ferzuḳûhum minhu veḳûlû lehum ḳavlem ma`rûfâ.,Abay Yazılışı
502,4,9,velyaḫşe-lleẕîne lev terakû min ḫalfihim ẕurriyyeten ḍi`âfen ḫâfû `aleyhim. felyetteḳu-llâhe velyeḳûlû ḳavlen sedîdâ.,Abay Yazılışı
503,4,10,inne-lleẕîne ye'kulûne emvâle-lyetâmâ żulmen innemâ ye'kulûne fî buṭûnihim nârâ. veseyaṣlevne se`îrâ.,Abay Yazılışı
504,4,11,yûṣîkumu-llâhu fî evlâdikum liẕẕekeri miŝlu ḥażżi-l'unŝeyeyn. fein kunne nisâen fevḳa-ŝneteyni felehunne ŝuluŝâ mâ terak. vein kânet vâḥideten felehe-nniṣf. veliebeveyhi likulli vâḥidim minhume-ssudusu mimmâ terake in kâne lehû veled. feil lem yekul lehû veleduv veveriŝehû ebevâhu feliummihi-ŝŝuluŝ. fein kâne lehû iḫvetun feliummihi-ssudusu mim ba`di veṣiyyetiy yûṣî bihâ ev deyn. âbâukum veebnâukum. lâ tedrûne eyyuhum aḳrabu lekum nef`â. ferîḍatem mine-llâh. inne-llâhe kâne `alîmen ḥakîmâ.,Abay Yazılışı
505,4,12,velekum niṣfu mâ terake ezvâcukum il lem yekul lehunne veled. fein kâne lehunne veledun felekumu-rrubu`u mimmâ terakne mim ba`di veṣiyyetiy yûṣîne bihâ ev deyn. velehunne-rrubu`u mimmâ teraktum il lem yekul lekum veled. fein kâne lekum veledun felehunne-ŝŝumunu mimmâ teraktum mim ba`di veṣiyyetin tûṣûne bihâ ev deyn. vein kâne raculuy yûraŝu kelâleten evi-mraetuv velehû eḫun ev uḫtun felikulli vâḥidim minhume-ssudus. fein kânû ekŝera min ẕâlike fehum şurakâu fi-ŝŝuluŝi mim ba`di veṣiyyetiy yûṣâ bihâ ev deynin gayra muḍârr. veṣiyyetem mine-llâh. vellâhu `alîmun ḥalîm.,Abay Yazılışı
506,4,13,tilke ḥudûdu-llâh. vemey yuṭi`i-llâhe verasûlehû yudḫilhu cennâtin tecrî min taḥtihe-l'enhâru ḫâlidîne fîhâ. veẕâlike-lfevzu-l`ażîm.,Abay Yazılışı
507,4,14,vemey ya`ṣi-llâhe verasûlehû veyete`addâ ḥudûdehû yudḫilhu nâran ḫâliden fîhâ. velehû `aẕâbum muhîn.,Abay Yazılışı
508,4,15,vellâtî ye'tîne-lfâḥişete min nisâikum festeşhidû `aleyhinne erbe`atem minkum. fein şehidû feemsikûhunne fi-lbuyûti ḥattâ yeteveffâhunne-lmevtu ev yec`ale-llâhu lehunne sebîlâ.,Abay Yazılışı
509,4,16,velleẕâni ye'tiyânihâ minkum feâẕûhumâ. fein tâbâ veaṣleḥâ fea`riḍû `anhumâ. inne-llâhe kâne tevvâber raḥîmâ.,Abay Yazılışı
510,4,17,inneme-ttevbetu `ale-llâhi lilleẕîne ya`melûne-ssûe bicehâletin ŝumme yetûbûne min ḳarîbin feulâike yetûbu-llâhu `aleyhim. vekâne-llâhu `alîmen ḥakîmâ.,Abay Yazılışı
511,4,18,veleyseti-ttevbetu lilleẕîne ya`melûne-sseyyiât. ḥattâ iẕâ ḥaḍara eḥadehumu-lmevtu ḳâle innî tubtu-l'âne vele-lleẕîne yemûtûne vehum kuffâr. ulâike a`tednâ lehum `aẕâben elîmâ.,Abay Yazılışı
512,4,19,yâ eyyuhe-lleẕîne âmenû lâ yeḥillu lekum en teriŝu-nnisâe kerhâ. velâ ta`ḍulûhunne liteẕhebû biba`ḍi mâ âteytumûhunne illâ ey ye'tîne bifâḥişetim mubeyyineh. ve`âşirûhunne bilma`rûf. fein kerihtumûhunne fe`asâ en tekrahû şey'ev veyec`ale-llâhu fîhi ḫayran keŝîrâ.,Abay Yazılışı
513,4,20,vein erattumu-stibdâle zevcim mekâne zevciv veâteytum iḥdâhunne ḳinṭâran felâ te'ḫuẕû minhu şey'â. ete'ḫuẕûnehû buhtânev veiŝmem mubînâ.,Abay Yazılışı
514,4,21,vekeyfe te'ḫuẕûnehû veḳad efḍâ ba`ḍukum ilâ ba`ḍiv veeḫaẕne minkum mîŝâḳan galîżâ.,Abay Yazılışı
515,4,22,velâ tenkiḥû mâ nekeḥa âbâukum mine-nnisâi illâ mâ ḳad selef. innehû kâne fâḥişetev vemaḳtâ. vesâe sebîlâ.,Abay Yazılışı
516,4,23,ḥurrimet `aleykum ummehâtukum vebenâtukum veeḫavâtukum ve`ammâtukum veḫâlâtukum vebenâtu-l'eḫi vebenâtu-l'uḫti veummehâtukumu-llâtî erḍa`nekum veeḫavâtukum mine-rraḍâ`ati veummehâtu nisâikum verabâibukumu-llâtî fî ḥucûrikum min nisâikumu-llâtî deḫaltum bihinn. feil lem tekûnû deḫaltum bihinne felâ cunâḥa `aleykum. veḥalâilu ebnâikumu-lleẕîne min aṣlâbikum veen tecme`û beyne-l'uḫteyni illâ mâ ḳad selef. inne-llâhe kâne gafûrar raḥîmâ.,Abay Yazılışı
517,4,24,velmuḥṣanâtu mine-nnisâi illâ mâ meleket eymânukum. kitâbe-llâhi `aleykum. veuḥille lekum mâ verâe ẕâlikum en tebtegû biemvâlikum muḥṣinîne gayra musâfiḥîn. feme-stemta`tum bihî minhunne feâtûhunne ucûrahunne ferîḍah. velâ cunâḥa `aleykum fîmâ terâḍaytum bihî mim ba`di-lferîḍah. inne-llâhe kâne `alîmen ḥakîmâ.,Abay Yazılışı
518,4,25,vemel lem yesteṭi` minkum ṭavlen ey yenkiḥa-lmuḥsenâti-lmu'minâti femim mâ meleket eymânukum min feteyâtikumu-lmu'minât. vellâhu a`lemu biîmânikum. ba`ḍukum mim ba`ḍ. fenkiḥûhunne biiẕni ehlihinne veâtûhunne ucûrahunne bilma`rûfi muḥṣanâtin gayra mesâfiḥâtiv velâ mutteḫiẕâti aḫdân. feiẕâ uḥṣinne fein eteyne bifâḥişetin fe`aleyhinne niṣfu mâ `ale-lmuḥsenâti mine-l`aẕâb. ẕâlike limen ḫaşiye-l`anete minkum. veen taṣbirû ḫayrul lekum. vellâhu gafûrur raḥîm.,Abay Yazılışı
519,4,26,yurîdu-llâhu liyubeyyine lekum veyehdiyekum sunene-lleẕîne min ḳablikum veyetûbe `aleykum. vellâhu `alîmun ḥakîm.,Abay Yazılışı
520,4,27,vellâhu yurîdu ey yetûbe `aleykum veyurîdu-lleẕîne yettebi`ûne-şşehevâti en temîlû meylen `ażîmâ.,Abay Yazılışı
521,4,28,yurîdu-llâhu ey yuḫaffife `ankum. veḫuliḳa-l'insânu ḍa`îfâ.,Abay Yazılışı
522,4,29,yâ eyyuhe-lleẕîne âmenû lâ te'kulû emvâlekum beynekum bilbâṭili illâ en tekûne ticâraten `an terâḍim minkum velâ taḳtulû enfusekum. inne-llâhe kâne bikum raḥîmâ.,Abay Yazılışı
523,4,30,vemey yef`al ẕâlike `udvânev veżulmen fesevfe nuṣlîhi nârâ. vekâne ẕâlike `ale-llâhi yesîrâ.,Abay Yazılışı
524,4,31,in tectenibû kebâira mâ tunhevne `anhu nukeffir `ankum seyyiâtikum venudḫilkum mudḫalen kerîmâ.,Abay Yazılışı
525,4,32,velâ tetemennev mâ feḍḍale-llâhu bihî ba`ḍakum `alâ ba`ḍ. lirricâli neṣîbum mimme-ktesebû velinnisâi neṣîbum mimme-ktesebn. ves'elu-llâhe min faḍlih. inne-llâhe kâne bikulli şey'in `alîmâ.,Abay Yazılışı
526,4,33,velikullin ce`alnâ mevâliye mimmâ terake-lvâlidâni vel'aḳrabûn. velleẕîne `aḳadet eymânukum feâtûhum neṣîbehum. inne-llâhe kâne `alâ kulli şey'in şehîdâ.,Abay Yazılışı
527,4,34,erricâlu ḳavvâmûne `ale-nnisâi bimâ feḍḍale-llâhu ba`ḍahum `alâ ba`ḍiv vebimâ enfeḳû min emvâlihim. feṣṣâliḥâtu ḳânitâtun ḥâfiżâtul lilgaybi bimâ ḥafiża-llâh. vellâtî teḫâfûne nuşûzehunne fe`iżûhunne vehcurûhunne fi-lmeḍâci`i vaḍribûhunn. fein eṭa`nekum felâ tebgû `aleyhinne sebîlâ. inne-llâhe kâne `aliyyen kebîrâ.,Abay Yazılışı
528,4,35,vein ḫiftum şiḳâḳa beynihimâ feb`aŝû ḥakemem min ehlihî veḥakemem min ehlihâ. iy yurîdâ iṣlâḥay yuveffiḳi-llâhu beynehumâ. inne-llâhe kâne `alîmen ḫabîrâ.,Abay Yazılışı
529,4,36,va`budu-llâhe velâ tuşrikû bihî şey'ev vebilvâlideyni iḥsânev vebiẕi-lḳurbâ velyetâmâ velmesâkîni velcâri ẕi-lḳurbâ velcâri-lcunubi veṣṣâḥibi bilcembi vebni-ssebîli vemâ meleket eymânukum. inne-llâhe lâ yuḥibbu men kâne muḫtâlen feḫûrâ.,Abay Yazılışı
