sira,sure,ayet,metin,hoca
1124,7,170,"Those who uphold the scripture, and observe the Contact Prayers (Salat), we never fail to recompense the pious.",Rashad Khalifa
1125,7,171,"We raised the mountain above them like an umbrella, and they thought it was going to fall on them: ""You shall uphold what we have given you, strongly, and remember the contents thereof, that you may be saved.""",Rashad Khalifa
1126,7,172,"Recall that your Lord summoned all the descendants of Adam, and had them bear witness for themselves: ""Am I not your Lord?"" They all said, ""Yes. We bear witness."" Thus, you cannot say on the Day of Resurrection, ""We were not aware of this.""",Rashad Khalifa
1127,7,173,"Nor can you say, ""It was our parents who practiced idolatry, and we simply followed in their footsteps. Will You punish us because of what others have innovated?""",Rashad Khalifa
1128,7,174,"We thus explain the revelations, to enable the people to redeem themselves.",Rashad Khalifa
1129,7,175,"Recite for them the news of one who was given our proofs, but chose to disregard them. Consequently, the devil pursued him, until he became a strayer.",Rashad Khalifa
1130,7,176,"Had we willed, we could have elevated him therewith, but he insisted on sticking to the ground, and pursued his own opinions. Thus, he is like the dog; whether you pet him or scold him, he pants. Such is the example of people who reject our proofs. Narrate these narrations, that they may reflect.",Rashad Khalifa
1131,7,177,Bad indeed is the example of people who reject our proofs; it is only their own souls that they wrong.,Rashad Khalifa
1132,7,178,"Whomever GOD guides is the truly guided one, and whomever He commits to straying, these are the losers.",Rashad Khalifa
1133,7,179,"We have committed to Hell multitudes of jinns and humans. They have minds with which they do not understand, eyes with which they do not see, and ears with which they do not hear. They are like animals; no, they are far worse - they are totally unaware.",Rashad Khalifa
1134,7,180,"To GOD belongs the most beautiful names; call upon Him therewith, and disregard those who distort His names. They will be requited for their sins.",Rashad Khalifa
1135,7,181,"Among our creations, there are those who guide with the truth, and the truth renders them righteous.",Rashad Khalifa
1136,7,182,"As for those who reject our revelations, we lead them on without them ever realizing it.",Rashad Khalifa
1137,7,183,I will even encourage them; My scheming is formidable.,Rashad Khalifa
1138,7,184,Why do they not reflect upon their friend (the messenger)? He is not crazy. He is simply a profound warner.,Rashad Khalifa
1139,7,185,"Have they not looked at the dominion of the heavens and the earth, and all the things GOD has created? Does it ever occur to them that the end of their life may be near? Which Hadith, beside this, do they believe in?",Rashad Khalifa
1140,7,186,"Whomever GOD commits to straying, there is no way for anyone to guide him. He leaves them in their sins, blundering.",Rashad Khalifa
1141,7,187,"They ask you about the end of the world (the Hour), and when it will come to pass. Say, ""The knowledge thereof is with my Lord. Only He reveals its time. Heavy it is, in the heavens and the earth. It will not come to you except suddenly."" They ask you as if you are in control thereof. Say, ""The knowledge thereof is with GOD,"" but most people do not know.,",Rashad Khalifa
1142,7,188,"Say, ""I have no power to benefit myself, or harm myself. Only what GOD wills happens to me. If I knew the future, I would have increased my wealth, and no harm would have afflicted me. I am no more than a warner, and a bearer of good news for those who believe.""",Rashad Khalifa
1143,7,189,"He created you from one person (Adam). Subsequently, He gives every man a mate to find tranquility with her. She then carries a light load that she can hardly notice. As the load gets heavier, they implore GOD their Lord: ""If You give us a good baby, we will be appreciative.""",Rashad Khalifa
1144,7,190,"But when He gives them a good baby, they turn His gift into an idol that rivals Him. GOD be exalted, far above any partnership.",Rashad Khalifa
1145,7,191,"Is it not a fact that they are idolizing idols who create nothing, and are themselves created?",Rashad Khalifa
1146,7,192,"Idols that can neither help them, nor even help themselves?",Rashad Khalifa
1147,7,193,"When you invite them to the guidance, they do not follow you. Thus, it is the same for them whether you invite them, or remain silent.",Rashad Khalifa
1148,7,194,"The idols you invoke besides GOD are creatures like you. Go ahead and call upon them; let them respond to you, if you are right.",Rashad Khalifa
1149,7,195,"Do they have legs on which they walk? Do they have hands with which they defend themselves? Do they have eyes with which they see? Do they have ears with which they hear? Say, ""Call upon your idols, and ask them to smite me without delay.",Rashad Khalifa
1150,7,196,"""GOD is my only Lord and Master; the One who revealed this scripture. He protects the righteous.",Rashad Khalifa
1151,7,197,"""As for the idols you set up beside Him, they cannot help you, nor can they help themselves.""",Rashad Khalifa
1152,7,198,"When you invite them to the guidance, they do not hear. And you see them looking at you, but they do not see.",Rashad Khalifa
1153,7,199,"You shall resort to pardon, advocate tolerance, and disregard the ignorant.",Rashad Khalifa
1154,7,200,"When the devil whispers to you any whisper, seek refuge in GOD; He is Hearer, Omniscient.",Rashad Khalifa
1155,7,201,"Those who are righteous, whenever the devil approaches them with an idea, they remember, whereupon they become seers.",Rashad Khalifa
1156,7,202,Their brethren ceaselessly entice them to go astray.,Rashad Khalifa
1157,7,203,"If you do not produce a miracle that they demand, they say, ""Why not ask for it?"" Say, ""I simply follow what is revealed to me from my Lord."" These are enlightenments from your Lord, and guidance, and mercy for people who believe.",Rashad Khalifa
1158,7,204,"When the Quran is recited, you shall listen to it and take heed, that you may attain mercy.",Rashad Khalifa
1159,7,205,"You shall remember your Lord within yourself, publicly, privately, and quietly, day and night; do not be unaware.,",Rashad Khalifa
1160,7,206,Those at your Lord are never too proud to worship Him; they glorify Him and fall prostrate before Him.,Rashad Khalifa
1161,8,1,"They consult you about the spoils of war. Say, ""The spoils of war belong to GOD and the messenger."" You shall observe GOD, exhort one another to be righteous, and obey GOD and His messenger, if you are believers.",Rashad Khalifa
1162,8,2,"The true believers are those whose hearts tremble when GOD is mentioned, and when His revelations are recited to them, their faith is strengthened, and they trust in their Lord.",Rashad Khalifa
1163,8,3,"They observe the Contact Prayers (Salat), and from our provisions to them, they give to charity.",Rashad Khalifa
1164,8,4,"Such are the true believers. They attain high ranks at their Lord, as well as forgiveness and a generous provision.",Rashad Khalifa
1165,8,5,"Then your Lord willed that you leave your home, to fulfill a specific plan, some believers became exposed as reluctant believers.",Rashad Khalifa
1166,8,6,"They argued with you against the truth, even after everything was explained to them. They acted as if they were being driven to certain death.",Rashad Khalifa
1167,8,7,"Recall that GOD promised you victory over a certain group, but you still wanted to face the weaker group. It was GOD's plan to establish the truth with His words, and to defeat the disbelievers.",Rashad Khalifa
1168,8,8,"For He has decreed that the truth shall prevail, and the falsehood shall vanish, in spite of the evildoers.",Rashad Khalifa
1169,8,9,"Thus, when you implored your Lord to come to the rescue, He responded to you: ""I am supporting you with one thousand angels in succession.""",Rashad Khalifa
1170,8,10,"GOD gave you this good news to strengthen your hearts. Victory comes only from GOD. GOD is Almighty, Most Wise.",Rashad Khalifa
1171,8,11,"He caused peaceful slumber to overtake you and pacify you, and He sent down water from the sky to clean you therewith. He protected you from the devil's curse, reassured your hearts and strengthened your foothold.",Rashad Khalifa
1172,8,12,"Recall that your Lord inspired the angels: ""I am with you; so support those who believed. I will throw terror into the hearts of those who disbelieved. You may strike them above the necks, and you may strike even every finger.""",Rashad Khalifa
1173,8,13,"This is what they have justly incurred by fighting GOD and His messenger. For those who fight against GOD and His messenger, GOD's retribution is severe.",Rashad Khalifa
1174,8,14,This is to punish the disbelievers; they have incurred the retribution of Hell.,Rashad Khalifa
1175,8,15,"O you who believe, if you encounter the disbelievers who have mobilized against you, do not turn back and flee.",Rashad Khalifa
1176,8,16,"Anyone who turns back on that day, except to carry out a battle plan, or to join his group, has incurred wrath from GOD, and his abode is Hell; what a miserable destiny!",Rashad Khalifa
1177,8,17,"It was not you who killed them; GOD is the One who killed them. It was not you who threw when you threw; GOD is the One who threw. But He thus gives the believers a chance to earn a lot of credit. GOD is Hearer, Omniscient.",Rashad Khalifa
1178,8,18,"Additionally, GOD thus nullifies the schemes of the disbelievers.",Rashad Khalifa
1179,8,19,"You sought victory (O disbelievers), and victory did come; it belonged to the believers. If you refrain (from aggression) it would be better for you, but if you return, so will we. Your armies will never help you, no matter how great. For GOD is on the side of the believers.",Rashad Khalifa
1180,8,20,"O you who believe, obey GOD and His messenger, and do not disregard him while you hear.",Rashad Khalifa
1181,8,21,"Do not be like those who say, ""We hear,"" when they do not hear.",Rashad Khalifa
1182,8,22,"The worst creatures in the sight of GOD are the deaf and dumb, who do not understand.",Rashad Khalifa
1183,8,23,"Had GOD known of any good in them, He would have made them hearers. Even if He made them hearers, they still would turn away in aversion.",Rashad Khalifa
1184,8,24,"O you who believe, you shall respond to GOD and to the messenger when he invites you to what gives you life. You should know that GOD is closer to you than your heart, and that before Him you will be summoned.",Rashad Khalifa
1185,8,25,"Beware of a retribution that may not be limited to the evildoers among you. You should know that GOD's retribution is severe.,",Rashad Khalifa
1186,8,26,"Remember that you used to be few and oppressed, fearing that the people may snatch you, and He granted you a secure sanctuary, supported you with His victory, and provided you with good provisions, that you may be appreciative.",Rashad Khalifa
1187,8,27,"O you who believe, do not betray GOD and the messenger, and do not betray those who trust you, now that you know.",Rashad Khalifa
1188,8,28,"You should know that your money and your children are a test, and that GOD possesses a great recompense.",Rashad Khalifa
1189,8,29,"O you who believe, if you reverence GOD, He will enlighten you, remit your sins, and forgive you. GOD possesses infinite grace.",Rashad Khalifa
1190,8,30,"The disbelievers plot and scheme to neutralize you, or kill you, or banish you. However, they plot and scheme, but so does GOD. GOD is the best schemer.",Rashad Khalifa
1191,8,31,"When our revelations are recited to them, they say, ""We have heard. If we wanted to, we could have said the same things. These are no more than tales from the past!""",Rashad Khalifa
1192,8,32,"They also said, ""Our god, if this is really the truth from You, then shower us with rocks from the sky, or pour upon us a painful punishment.""",Rashad Khalifa
1193,8,33,"However, GOD is not to punish them while you are in their midst; GOD is not to punish them while they are seeking forgiveness.",Rashad Khalifa
1194,8,34,"Have they not deserved GOD's retribution, by repelling others from the Sacred Masjid, even though they are not the custodians thereof? The true custodians thereof are the righteous, but most of them do not know.",Rashad Khalifa
1195,8,35,"Their Contact Prayers (Salat) at the shrine (Ka'bah) were no more than a mockery and a means of repelling the people (by crowding them out). Therefore, suffer the retribution for your disbelief.",Rashad Khalifa
1196,8,36,"Those who disbelieve spend their money to repel others from the way of GOD. They will spend it, then it will turn into sorrow and remorse for them. Ultimately, they will be defeated, and all disbelievers will be summoned to Hell.",Rashad Khalifa
1197,8,37,"GOD will sift away the bad from the good, then pile the bad on top of each other, all in one pile, then throw it in Hell. Such are the losers.",Rashad Khalifa
1198,8,38,"Tell those who disbelieved: if they stop, all their past will be forgiven. But if they return, they will incur the same fate as their previous counterparts.",Rashad Khalifa
1199,8,39,"You shall fight them to ward off oppression, and to practice your religion devoted to GOD alone. If they refrain from aggression, then GOD is fully Seer of everything they do.",Rashad Khalifa
1200,8,40,"If they turn away, then you should know that GOD is your Lord and Master; the best Lord and Master, the best supporter.",Rashad Khalifa
1201,8,41,"You should know that if you gain any spoils in war, one-fifth shall go to GOD and the messenger, to be given to the relatives, the orphans, the poor, and the traveling alien. You will do this if you believe in GOD and in what we revealed to our servant on the day of decision, the day the two armies clashed. GOD is Omnipotent.",Rashad Khalifa
1202,8,42,"Recall that you were on this side of the valley, while they were on the other side. Then their caravan had to move to lower ground. Had you planned it this way, you could not have done it. But GOD was to carry out a predetermined matter, whereby those destined to be annihilated were annihilated for an obvious reason, and those destined to be saved were saved for an obvious reason. GOD is Hearer, Omniscient.",Rashad Khalifa
1203,8,43,"GOD made them appear in your dream (O Muhammad) fewer in number. Had He made them appear more numerous, you would have failed, and you would have disputed among yourselves. But GOD saved the situation. He is Knower of the innermost thoughts.",Rashad Khalifa
1204,8,44,"And when the time came and you faced them, He made them appear fewer in your eyes, and made you appear fewer in their eyes as well. For GOD willed to carry out a certain plan. All decisions are made by GOD.",Rashad Khalifa
1205,8,45,"O you who believe, when you encounter an army, you shall hold fast and commemorate GOD frequently, that you may succeed.",Rashad Khalifa
1206,8,46,"You shall obey GOD and His messenger, and do not dispute among yourselves, lest you fail and scatter your strength. You shall steadfastly persevere. GOD is with those who steadfastly persevere.",Rashad Khalifa
1207,8,47,"Do not be like those who left their homes grudgingly, only to show off, and in fact discouraged others from following the path of GOD. GOD is fully aware of everything they do.",Rashad Khalifa
1208,8,48,"The devil had adorned their works in their eyes, and said, ""You cannot be defeated by any people today,"" and ""I will be fighting along with you."" But as soon as the two armies faced each other, he turned back on his heels and fled, saying, ""I disown you. I see what you do not see. I am afraid of GOD. GOD's retribution is awesome.""",Rashad Khalifa
1209,8,49,"The hypocrites and those who harbored doubt in their hearts said, ""These people are deceived by their religion."" However, if one puts his trust in GOD, then GOD is Almighty, Most Wise.",Rashad Khalifa
1210,8,50,"If you could only see those who disbelieved when the angels put them to death! They will beat them on their faces and their rear ends: ""Taste the retribution of Hell.",Rashad Khalifa
1211,8,51,"""This is a consequence of what your hands have sent forth. GOD is never unjust towards the creatures.""",Rashad Khalifa
1212,8,52,"This is the same fate as that of Pharaoh's people and those who disbelieved before them. They rejected GOD's revelations, and GOD punished them for their sins. GOD is powerful, and His retribution is severe.",Rashad Khalifa
1213,8,53,"GOD does not change a blessing He has bestowed upon any people unless they themselves decide to change. GOD is Hearer, Omniscient.",Rashad Khalifa
1214,8,54,"Such was the case with the people of Pharaoh and others before them. They first rejected the signs of their Lord. Consequently, we annihilated them for their sins. We drowned Pharaoh's people; the wicked were consistently punished.",Rashad Khalifa
1215,8,55,The worst creatures in the sight of GOD are those who disbelieved; they cannot believe.,Rashad Khalifa
1216,8,56,"You reach agreements with them, but they violate their agreements every time; they are not righteous.",Rashad Khalifa
1217,8,57,"Therefore, if you encounter them in war, you shall set them up as a deterrent example for those who come after them, that they may take heed.",Rashad Khalifa
1218,8,58,"When you are betrayed by a group of people, you shall mobilize against them in the same manner. GOD does not love the betrayers.",Rashad Khalifa
1219,8,59,Let not those who disbelieve think that they can get away with it; they can never escape.,Rashad Khalifa
1220,8,60,"You shall prepare for them all the power you can muster, and all the equipment you can mobilize, that you may frighten the enemies of GOD, your enemies, as well as others who are not known to you; GOD knows them. Whatever you spend in the cause of GOD will be repaid to you generously, without the least injustice.",Rashad Khalifa
1221,8,61,"If they resort to peace, so shall you, and put your trust in GOD. He is the Hearer, the Omniscient.",Rashad Khalifa
1222,8,62,"If they want to deceive you, then GOD will suffice you. He will help you with His support, and with the believers.",Rashad Khalifa
1223,8,63,"He has reconciled the hearts (of the believers). Had you spent all the money on earth, you could not reconcile their hearts. But GOD did reconcile them. He is Almighty, Most Wise.",Rashad Khalifa
1224,8,64,"O you prophet, sufficient for you is GOD and the believers who have followed you.",Rashad Khalifa
1225,8,65,"O you prophet, you shall exhort the believers to fight. If there are twenty of you who are steadfast, they can defeat two hundred, and a hundred of you can defeat a thousand of those who disbelieved. That is because they are people who do not understand.",Rashad Khalifa
1226,8,66,"Now (that many new people have joined you) GOD has made it easier for you, for He knows that you are not as strong as you used to be. Henceforth, a hundred steadfast believers can defeat two hundred, and a thousand of you can defeat two thousand by GOD's leave. GOD is with those who steadfastly persevere.",Rashad Khalifa
1227,8,67,"No prophet shall acquire captives, unless he participates in the fighting. You people are seeking the materials of this world, while GOD advocates the Hereafter. GOD is Almighty, Most Wise.",Rashad Khalifa
1228,8,68,"If it were not for a predetermined decree from GOD, you would have suffered, on account of what you took, a terrible retribution.",Rashad Khalifa
1229,8,69,"Therefore, eat from the spoils you have earned, that which is lawful and good, and observe GOD. GOD is Forgiver, Most Merciful.",Rashad Khalifa
1230,8,70,"O you prophet, tell the prisoners of war in your hands, ""If GOD knew of anything good in your hearts, He would have given you better than anything you have lost, and would have forgiven you. GOD is Forgiver, Most Merciful.""",Rashad Khalifa
1231,8,71,"And if they want to betray you, they have already betrayed GOD. This is why He made them the losers. GOD is Omniscient, Most Wise.",Rashad Khalifa
1232,8,72,"Surely, those who believed, and emigrated, and strove with their money and their lives in the cause of GOD, as well as those who hosted them and gave them refuge, and supported them, they are allies of one another. As for those who believe, but do not emigrate with you, you do not owe them any support, until they do emigrate. However, if they need your help, as brethren in faith, you shall help them, except against people with whom you have signed a peace treaty. GOD is Seer of everything you do.",Rashad Khalifa
1233,8,73,"Those who disbelieved are allies of one another. Unless you keep these commandments, there will be chaos on earth, and terrible corruption.",Rashad Khalifa
1234,8,74,"Those who believed and emigrated, and strove in the cause of GOD, as well as those who hosted them and gave them refuge, and supported them, these are the true believers. They have deserved forgiveness and a generous recompense.",Rashad Khalifa
1235,8,75,"Those who believed afterwards, and emigrated, and strove with you, they belong with you. Those who are related to each other shall be the first to support each other, in accordance with GOD's commandments. GOD is fully aware of all things.",Rashad Khalifa
1236,9,1,"An ultimatum is herein issued from GOD and His messenger to the idol worshipers who enter into a treaty with you.,",Rashad Khalifa
1237,9,2,"Therefore, roam the earth freely for four months, and know that you cannot escape from GOD, and that GOD humiliates the disbelievers.",Rashad Khalifa
1238,9,3,"A proclamation is herein issued from GOD and His messenger to all the people on the great day of pilgrimage, that GOD has disowned the idol worshipers, and so did His messenger. Thus, if you repent, it would be better for you. But if you turn away, then know that you can never escape from GOD. Promise those who disbelieve a painful retribution.",Rashad Khalifa
1239,9,4,"If the idol worshipers sign a peace treaty with you, and do not violate it, nor band together with others against you, you shall fulfill your treaty with them until the expiration date. GOD loves the righteous.",Rashad Khalifa
1240,9,5,"Once the Sacred Months are past, (and they refuse to make peace) you may kill the idol worshipers when you encounter them, punish them, and resist every move they make. If they repent and observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), you shall let them go. GOD is Forgiver, Most Merciful.",Rashad Khalifa
1241,9,6,"If one of the idol worshipers sought safe passage with you, you shall grant him safe passage, so that he can hear the word of GOD, then send him back to his place of security. That is because they are people who do not know.",Rashad Khalifa
1242,9,7,"How can the idol worshipers demand any pledge from GOD and from His messenger? Exempted are those who have signed a peace treaty with you at the Sacred Masjid. If they honor and uphold such a treaty, you shall uphold it as well. GOD loves the righteous.",Rashad Khalifa
1243,9,8,"How can they (demand a pledge) when they never observed any rights of kinship between you and them, nor any covenant, if they ever had a chance to prevail. They pacified you with lip service, while their hearts were in opposition, and most of them are wicked.",Rashad Khalifa
1244,9,9,"They traded away GOD's revelations for a cheap price. Consequently, they repulsed the people from His path. Miserable indeed is what they did!",Rashad Khalifa
1245,9,10,"They never observe any rights of kinship towards any believer, nor do they uphold their covenants; these are the real transgressors.",Rashad Khalifa
1246,9,11,"If they repent and observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), then they are your brethren in religion. We thus explain the revelations for people who know.",Rashad Khalifa
1247,9,12,"If they violate their oaths after pledging to keep their covenants, and attack your religion, you may fight the leaders of paganism - you are no longer bound by your covenant with them - that they may refrain.",Rashad Khalifa
1248,9,13,"Would you not fight people who violated their treaties, tried to banish the messenger, and they are the ones who started the war in the first place? Are you afraid of them? GOD is the One you are supposed to fear, if you are believers.",Rashad Khalifa
1249,9,14,"You shall fight them, for GOD will punish them at your hands, humiliate them, grant you victory over them, and cool the chests of the believers.",Rashad Khalifa
1250,9,15,"He will also remove the rage from the believers' hearts. GOD redeems whomever He wills. GOD is Omniscient, Most Wise.",Rashad Khalifa
1251,9,16,"Did you think that you will be left alone without GOD distinguishing those among you who strive, and never ally themselves with GOD's enemies, or the enemies of His messenger, or the enemies of the believers? GOD is fully Cognizant of everything you do.",Rashad Khalifa
1252,9,17,"The idol worshipers are not to frequent the masjids of GOD, while confessing their disbelief. These have nullified their works, and they will abide forever in Hell.",Rashad Khalifa
1253,9,18,"The only people to frequent GOD's masjids are those who believe in GOD and the Last Day, and observe the Contact Prayers (Salat), and give the obligatory charity (Zakat), and do not fear except GOD. These will surely be among the guided ones.",Rashad Khalifa
1254,9,19,"Have you considered the watering of the pilgrims and caring for the Sacred Masjid a substitute for believing in GOD and the Last Day, and striving in the cause of GOD? They are not equal in the sight of GOD. GOD does not guide the wicked people.",Rashad Khalifa
1255,9,20,"Those who believe, and emigrate, and strive in the cause of GOD with their money and their lives, are far greater in rank in the sight of GOD. These are the winners.",Rashad Khalifa
1256,9,21,"Their Lord gives them good news: mercy and approval from Him, and gardens where they rejoice in everlasting bliss.",Rashad Khalifa
1257,9,22,Eternally they abide therein. GOD possesses a great recompense.,Rashad Khalifa
1258,9,23,"O you who believe, do not ally yourselves even with your parents and your siblings, if they prefer disbelieving over believing. Those among you who ally themselves with them are transgressing.",Rashad Khalifa
1259,9,24,"Proclaim: ""If your parents, your children, your siblings, your spouses, your family, the money you have earned, a business you worry about, and the homes you cherish are more beloved to you than GOD and His messenger, and the striving in His cause, then just wait until GOD brings His judgment."" GOD does not guide the wicked people.",Rashad Khalifa
1260,9,25,"GOD has granted you victory in many situations. But on the day of Hunayn, you became too proud of your great number. Consequently, it did not help you at all, and the spacious earth became so straitened around you, that you turned around and fled.",Rashad Khalifa
1261,9,26,Then GOD sent down contentment upon His messenger and upon the believers. And He sent down invisible soldiers; He thus punished those who disbelieved. This is the requital for the disbelievers.,Rashad Khalifa
1262,9,27,"Ultimately, GOD redeems whomever He wills. GOD is Forgiver, Most Merciful.",Rashad Khalifa
1263,9,28,"O you who believe, the idol worshipers are polluted; they shall not be permitted to approach the Sacred Masjid after this year. If you fear loss of income, GOD will shower you with His provisions, in accordance with His will. GOD is Omniscient, Most Wise.",Rashad Khalifa
1264,9,29,"You shall fight back against those who do not believe in GOD, nor in the Last Day, nor do they prohibit what GOD and His messenger have prohibited, nor do they abide by the religion of truth - among those who received the scripture - until they pay the due tax, willingly or unwillingly.",Rashad Khalifa
1265,9,30,"The Jews said, ""Ezra is the son of GOD,"" while the Christians said, ""Jesus is the son of GOD!"" These are blasphemies uttered by their mouths. They thus match the blasphemies of those who have disbelieved in the past. GOD condemns them. They have surely deviated.",Rashad Khalifa
1266,9,31,"They have set up their religious leaders and scholars as lords, instead of GOD. Others deified the Messiah, son of Mary. They were all commanded to worship only one god. There is no god except He. Be He glorified, high above having any partners.,",Rashad Khalifa
1267,9,32,"They want to put out GOD's light with their mouths, but GOD insists upon perfecting His light, in spite of the disbelievers.",Rashad Khalifa
1268,9,33,"He is the One who sent His messenger with the guidance and the religion of truth, and will make it dominate all religions, in spite of the idol worshipers.",Rashad Khalifa
1269,9,34,"O you who believe, many religious leaders and preachers take the people's money illicitly, and repel from the path of GOD. Those who hoard the gold and silver, and do not spend them in the cause of GOD, promise them a painful retribution.",Rashad Khalifa
1270,9,35,"The day will come when their gold and silver will be heated in the fire of Hell, then used to burn their foreheads, their sides, and their backs: ""This is what you hoarded for yourselves, so taste what you have hoarded.""",Rashad Khalifa
1271,9,36,"The count of months, as far as GOD is concerned, is twelve. This has been GOD's law, since the day He created the heavens and the earth. Four of them are sacred. This is the perfect religion; you shall not wrong your souls (by fighting) during the Sacred Months. However, you may declare all-out war against the idol worshipers (even during the Sacred Months), when they declare all-out war against you, and know that GOD is on the side of the righteous.",Rashad Khalifa
1272,9,37,"Altering the Sacred Months is a sign of excessive disbelief; it augments the straying of those who have disbelieved. They alternate the Sacred Months and the regular months, while preserving the number of months consecrated by GOD. They thus violate what GOD has consecrated. Their evil works are adorned in their eyes. GOD does not guide the disbelieving people.",Rashad Khalifa
1273,9,38,"O you who believe, when you are told, ""Mobilize in the cause of GOD,"" why do you become heavily attached to the ground? Have you chosen this worldly life in place of the Hereafter? The materials of this world, compared to the Hereafter, are nil.",Rashad Khalifa
1274,9,39,"Unless you mobilize, He will commit you to painful retribution and substitute other people in your place; you can never hurt Him in the least. GOD is Omnipotent.",Rashad Khalifa
1275,9,40,"If you fail to support him (the messenger), GOD has already supported him. Thus, when the disbelievers chased him, and he was one of two in the cave, he said to his friend, ""Do not worry; GOD is with us."" GOD then sent down contentment and security upon him, and supported him with invisible soldiers. He made the word of the disbelievers lowly. GOD's word reigns supreme. GOD is Almighty, Most Wise.",Rashad Khalifa
1276,9,41,"You shall readily mobilize, light or heavy, and strive with your money and your lives in the cause of GOD. This is better for you, if you only knew.",Rashad Khalifa
1277,9,42,"If there were a quick material gain, and a short journey, they would have followed you. But the striving is just too much for them. They will swear by GOD: ""If we could, we would have mobilized with you."" They thus hurt themselves, and GOD knows that they are liars.",Rashad Khalifa
1278,9,43,"GOD has pardoned you: why did you give them permission (to stay behind), before you could distinguish those who are truthful from the liars?",Rashad Khalifa
1279,9,44,Those who truly believe in GOD and the Last Day do not ask your permission to evade the opportunity to strive with their money and their lives. GOD is fully aware of the righteous.,Rashad Khalifa
1280,9,45,"The only people who wish to be excused are those who do not really believe in GOD and the Last Day. Their hearts are full of doubt, and their doubts cause them to waver.",Rashad Khalifa
1281,9,46,"Had they really wanted to mobilize, they would have prepared for it thoroughly. But GOD disliked their participation, so He discouraged them; they were told, ""Stay behind with those who are staying behind.""",Rashad Khalifa
1282,9,47,"Had they mobilized with you, they would have created confusion, and would have caused disputes and divisions among you. Some of you were apt to listen to them. GOD is fully aware of the transgressors.",Rashad Khalifa
1283,9,48,"They sought to spread confusion among you in the past, and confounded matters for you. However, the truth ultimately prevails, and GOD's plan is carried out, in spite of them.",Rashad Khalifa
1284,9,49,"Some of them would say, ""Give me permission (to stay behind); do not impose such a hardship on me."" In fact, they have thus incurred a terrible hardship; Hell is surrounding the disbelievers.",Rashad Khalifa
1285,9,50,"If something good happens to you, they hurt, and if an affliction befalls you, they say, ""We told you so,"" as they turn away rejoicing.",Rashad Khalifa
1286,9,51,"Say, ""Nothing happens to us, except what GOD has decreed for us. He is our Lord and Master. In GOD the believers shall trust.""",Rashad Khalifa
1287,9,52,"Say, ""You can only expect for us one of two good things (victory or martyrdom), while we expect for you condemnation from GOD and retribution from Him, or at our hands. Therefore, wait, and we will wait along with you.""",Rashad Khalifa
1288,9,53,"Say, ""Spend, willingly or unwillingly. Nothing will be accepted from you, for you are evil people.""",Rashad Khalifa
1289,9,54,"What prevented the acceptance of their spending is that they disbelieved in GOD and His messenger, and when they observed the Contact Prayers (Salat) , they observed them lazily, and when they gave to charity, they did so grudgingly.*",Rashad Khalifa
1290,9,55,"Do not be impressed by their money, or their children. GOD causes these to be sources of retribution for them in this life, and (when they die) their souls depart while they are disbelievers.",Rashad Khalifa
1291,9,56,"They swear by GOD that they belong with you, while they do not belong with you; they are divisive people.",Rashad Khalifa
1292,9,57,"If they could find a refuge, or caves, or a hiding place, they would go to it, rushing.",Rashad Khalifa
1293,9,58,"Some of them criticize your distribution of the charities; if they are given therefrom, they become satisfied, but if they are not given therefrom, they become objectors.",Rashad Khalifa
1294,9,59,"They should be satisfied with what GOD and His messenger have given them. They should have said, ""GOD suffices us. GOD will provide for us from His bounties, and so will His messenger. We are seeking only GOD.""",Rashad Khalifa
1295,9,60,"Charities shall go to the poor, the needy, the workers who collect them, the new converts, to free the slaves, to those burdened by sudden expenses, in the cause of GOD, and to the traveling alien. Such is GOD's commandment. GOD is Omniscient, Most Wise.",Rashad Khalifa
1296,9,61,"Some of them hurt the prophet by saying, ""He is all ears!"" Say, ""It is better for you that he listens to you. He believes in GOD, and trusts the believers. He is a mercy for those among you who believe."" Those who hurt GOD's messenger have incurred a painful retribution.",Rashad Khalifa
1297,9,62,"They swear by GOD to you, to please you, when GOD and His messenger are more worthy of pleasing, if they are really believers.",Rashad Khalifa
1298,9,63,Did they not know that anyone who opposes GOD and His messenger has incurred the fire of Hell forever? This is the worst humiliation.,Rashad Khalifa
1299,9,64,"The hypocrites worry that a sura may be revealed exposing what is inside their hearts. Say, ""Go ahead and mock. GOD will expose exactly what you are afraid of.""",Rashad Khalifa
1300,9,65,"If you ask them, they would say, ""We were only mocking and kidding."" Say, ""Do you realize that you are mocking GOD, and His revelations, and His messenger?""",Rashad Khalifa
1301,9,66,"Do not apologize. You have disbelieved after having believed. If we pardon some of you, we will punish others among you, as a consequence of their wickedness.",Rashad Khalifa
1302,9,67,"The hypocrite men and the hypocrite women belong with each other - they advocate evil and prohibit righteousness, and they are stingy. They forgot GOD, so He forgot them. The hypocrites are truly wicked.",Rashad Khalifa
1303,9,68,"GOD promises the hypocrite men and the hypocrite women, as well as the disbelievers, the fire of Hell, wherein they abide forever. It suffices them. GOD has condemned them; they have incurred an everlasting retribution.",Rashad Khalifa
