sira,sure,ayet,metin,hoca,arapca
447,3,154,"Sonra (Allah) o kederin arkasından size bir güven indirdi ki (bu güvenin yol açtığı) uyuklama hâli bir kısmınızı kaplıyordu. Kendi canlarının kaygısına düşmüş bir grup da Allah hakkında cahiliye devrindeki türden yanlış ve yersiz zanlara kapılmışlar[1] ve ""Bu işten bize ne var?"" diyorlardı. De ki: ""İş (karar), tamamen Allah'a aittir. Onlar, sana açıklayamadıklarını içlerinde gizliyorlar."" (Onlar) ""Bu işten bize bir şey olsaydı, burada öldürülmezdik."" diyorlar. (Onlara) de ki: ""Evlerinizde kalmış olsaydınız bile öldürülmesi yazılmış olanlar, yataklarına (düşecekleri yerlere) çıkıp giderlerdi.[2] Allah göğüslerinizdekileri (kalplerinizdekileri) deneyip ortaya çıkarmak ve göğüslerinizdekileri (kalplerinizdekileri) arındırmak için (böyle yaptı). Allah göğüslerin (kalplerin) özünü bilendir.""",Mehmet Okuyan,ثُمَّ اَنْزَلَ عَلَيْكُمْ مِنْ بَعْدِ الْغَمِّ اَمَنَةً نُعَاساً يَغْشٰى طَٓائِفَةً مِنْكُمْۙ وَطَٓائِفَةٌ قَدْ اَهَمَّتْهُمْ اَنْفُسُهُمْ يَظُنُّونَ بِاللّٰهِ غَيْرَ الْحَقِّ ظَنَّ الْجَاهِلِيَّةِۜ يَقُولُونَ هَلْ لَنَا مِنَ الْاَمْرِ مِنْ شَيْءٍۜ قُلْ اِنَّ الْاَمْرَ كُلَّهُ لِلّٰهِۜ يُخْفُونَ ف۪ٓي اَنْفُسِهِمْ مَا لَا يُبْدُونَ لَكَۜ يَقُولُونَ لَوْ كَانَ لَنَا مِنَ الْاَمْرِ شَيْءٌ مَا قُتِلْنَا هٰهُنَاۜ قُلْ لَوْ كُنْتُمْ ف۪ي بُيُوتِكُمْ لَبَرَزَ الَّذ۪ينَ كُتِبَ عَلَيْهِمُ الْقَتْلُ اِلٰى مَضَاجِعِهِمْۚ وَلِيَبْتَلِيَ اللّٰهُ مَا ف۪ي صُدُورِكُمْ وَلِيُمَحِّصَ مَا ف۪ي قُلُوبِكُمْۜ وَاللّٰهُ عَل۪يمٌ بِذَاتِ الصُّدُورِ
448,3,155,"(Uhud'da) iki ordu karşılaştığı gün sizi bırakıp gidenleri, işledikleri bazı hatalar yüzünden şeytan (yerlerinden) kaydırmıştı. Yemin olsun ki Allah onları affetmiştir. Şüphesiz ki Allah çok bağışlayandır, hoşgörülüdür.",Mehmet Okuyan,اِنَّ الَّذ۪ينَ تَوَلَّوْا مِنْكُمْ يَوْمَ الْتَقَى الْجَمْعَانِۙ اِنَّمَا اسْتَزَلَّهُمُ الشَّيْطَانُ بِبَعْضِ مَا كَسَبُواۚ وَلَقَدْ عَفَا اللّٰهُ عَنْهُمْۜ اِنَّ اللّٰهَ غَفُورٌ حَل۪يمٌ۟
449,3,156,"Ey iman edenler! kâfir olanlar ve yeryüzünde sefere çıkan veya savaşan kardeşleri hakkında ""Bizim yanımızda olsalardı ölmezler, öldürülmezlerdi."" diyenler gibi olmayın! Sonunda Allah bunu kalplerinde bir pişmanlık kılacak.[1] Allah diriltir (hayat verir) ve öldürür. Allah yaptıklarınızı görendir.",Mehmet Okuyan,يَٓا اَيُّهَا الَّذ۪ينَ اٰمَنُوا لَا تَكُونُوا كَالَّذ۪ينَ كَفَرُوا وَقَالُوا لِاِخْوَانِهِمْ اِذَا ضَرَبُوا فِي الْاَرْضِ اَوْ كَانُوا غُزًّى لَوْ كَانُوا عِنْدَنَا مَا مَاتُوا وَمَا قُتِلُواۚ لِيَجْعَلَ اللّٰهُ ذٰلِكَ حَسْرَةً ف۪ي قُلُوبِهِمْۜ وَاللّٰهُ يُحْـي۪ وَيُم۪يتُۜ وَاللّٰهُ بِمَا تَعْمَلُونَ بَص۪يرٌ
450,3,157,"Allah yolunda öldürülür veya ölürseniz, (şunu bilin ki) Allah'ın bağışlaması ve merhameti, onların topladıkları (dünyalıklar)dan elbette hayırlıdır.",Mehmet Okuyan,وَلَئِنْ قُتِلْتُمْ ف۪ي سَب۪يلِ اللّٰهِ اَوْ مُتُّمْ لَمَغْفِرَةٌ مِنَ اللّٰهِ وَرَحْمَةٌ خَيْرٌ مِمَّا يَجْمَعُونَ
451,3,158,Ölseniz de öldürülseniz de Allah'ın huzurunda elbette toplanacaksınız.,Mehmet Okuyan,وَلَئِنْ مُتُّمْ اَوْ قُتِلْتُمْ لَاِلَى اللّٰهِ تُحْشَرُونَ
452,3,159,"Allah'tan bir merhamet sebebiyle onlara yumuşak davranmıştın.[1] Kaba, katı yürekli olsaydın, şüphesiz ki etrafından dağılırlardı. Onları affet; bağışlanmaları için dua et; iş(ler) hakkında onlarla istişarede[2] bulun![3] Kararını verdiğin zaman da artık Allah'a güven! Şüphesiz ki Allah kendisine güvenenleri sever.",Mehmet Okuyan,فَبِمَا رَحْمَةٍ مِنَ اللّٰهِ لِنْتَ لَهُمْۚ وَلَوْ كُنْتَ فَظًّا غَل۪يظَ الْقَلْبِ لَانْفَضُّوا مِنْ حَوْلِكَۖ فَاعْفُ عَنْهُمْ وَاسْتَغْفِرْ لَهُمْ وَشَاوِرْهُمْ فِي الْاَمْرِۚ فَاِذَا عَزَمْتَ فَتَوَكَّلْ عَلَى اللّٰهِۜ اِنَّ اللّٰهَ يُحِبُّ الْمُتَوَكِّل۪ينَ
453,3,160,"Allah size yardım ederse, artık size üstün gelecek kimse yoktur.[1] Sizi bırakırsa, ondan sonra size kim yardım edebilir ki! Müminler, yalnızca Allah'a güvensinler!",Mehmet Okuyan,اِنْ يَنْصُرْكُمُ اللّٰهُ فَلَا غَالِبَ لَكُمْۚ وَاِنْ يَخْذُلْكُمْ فَمَنْ ذَا الَّذ۪ي يَنْصُرُكُمْ مِنْ بَعْدِه۪ۜ وَعَلَى اللّٰهِ فَلْيَتَوَكَّلِ الْمُؤْمِنُونَ
454,3,161,"Hiçbir peygambere, (emanete) ihanet etmesi yakışmaz.[1] Kim ihanet ederse, kıyamet günü, ihanet ettiği şey(in günahı ile) gelir. Sonra da haksızlığa uğratılmaksızın kazandıkları şeyler herkese tastamam ödenecektir.",Mehmet Okuyan,وَمَا كَانَ لِنَبِيٍّ اَنْ يَغُلَّۜ وَمَنْ يَغْلُلْ يَأْتِ بِمَا غَلَّ يَوْمَ الْقِيٰمَةِۚ ثُمَّ تُوَفّٰى كُلُّ نَفْسٍ مَا كَسَبَتْ وَهُمْ لَا يُظْلَمُونَ
455,3,162,Allah'ın rızasını gözeten ile Allah'tan bir gazaba uğrayan kişi bir olur mu hiç! Onun barınağı cehennemdir. Ne kötü varış yeridir (orası)!,Mehmet Okuyan,اَفَمَنِ اتَّبَعَ رِضْوَانَ اللّٰهِ كَمَنْ بَٓاءَ بِسَخَطٍ مِنَ اللّٰهِ وَمَأْوٰيهُ جَهَنَّمُۜ وَبِئْسَ الْمَص۪يرُ
456,3,163,"Onlar, Allah katında derece derecedir. Allah onların yaptıklarını görendir.",Mehmet Okuyan,هُمْ دَرَجَاتٌ عِنْدَ اللّٰهِۜ وَاللّٰهُ بَص۪يرٌ بِمَا يَعْمَلُونَ۟
457,3,164,"Şüphesiz ki içlerinden kendilerine (Allah'ın) ayetlerini tilavet etmekte (okuyup aktarmakta), onları (kötülüklerden) arındırmakta ve kendilerine Kitap ve hikmeti (doğru hükümleri) öğretmekte olan bir elçi göndermekle Allah müminlere büyük bir lütufta bulunmuştur. Onlar daha önce apaçık bir sapkınlık içindeydi.",Mehmet Okuyan,لَقَدْ مَنَّ اللّٰهُ عَلَى الْمُؤْمِن۪ينَ اِذْ بَعَثَ ف۪يهِمْ رَسُولاً مِنْ اَنْفُسِهِمْ يَتْلُوا عَلَيْهِمْ اٰيَاتِه۪ وَيُزَكّ۪يهِمْ وَيُعَلِّمُهُمُ الْكِتَابَ وَالْحِكْمَةَۚ وَاِنْ كَانُوا مِنْ قَبْلُ لَف۪ي ضَلَالٍ مُب۪ينٍ
458,3,165,"(Bedir'de düşmanınızın) başına iki katını getirdiğiniz bir musibet, (Uhud'da) kendi başınıza geldiği için mi ""Bu nasıl oluyor?"" demiştiniz? De ki: ""O kendi (kusuru)nuzdandır.[1] Şüphesiz ki Allah her şeye gücü yetendir.""",Mehmet Okuyan,اَوَلَمَّٓا اَصَابَتْكُمْ مُص۪يبَةٌ قَدْ اَصَبْتُمْ مِثْلَيْهَاۙ قُلْتُمْ اَنّٰى هٰذَاۜ قُلْ هُوَ مِنْ عِنْدِ اَنْفُسِكُمْۜ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَد۪يرٌ
459,3,166,"(166, 167) (Uhud'da) iki ordu karşılaştığı gün başınıza gelenler ancak Allah'ın izniyle olmuştur ki bu da müminleri (diğerlerinden) ayırt etmesi ve münafıkları ortaya çıkarması içindi.[1] Onlara (münafıklara) ""Gelin, Allah yolunda çarpışın veya savunma yapın!"" dendiği zaman, ""Savaşmayı (savaşın olacağını) bilseydik elbette size uyardık."" demişlerdi. Onlar (o gün) imandan çok küfre yakındı. Ağızlarıyla, kalplerinde olmayanı söylüyorlardı.[2] (Oysa) Allah onların içlerinde gizlediklerini çok iyi bilendir.",Mehmet Okuyan,وَمَٓا اَصَابَكُمْ يَوْمَ الْتَقَى الْجَمْعَانِ فَبِاِذْنِ اللّٰهِ وَلِيَعْلَمَ الْمُؤْمِن۪ينَۙ
460,3,167,"(166, 167) (Uhud'da) iki ordu karşılaştığı gün başınıza gelenler ancak Allah'ın izniyle olmuştur ki bu da müminleri (diğerlerinden) ayırt etmesi ve münafıkları ortaya çıkarması içindi.[1] Onlara (münafıklara) ""Gelin, Allah yolunda çarpışın veya savunma yapın!"" dendiği zaman, ""Savaşmayı (savaşın olacağını) bilseydik elbette size uyardık."" demişlerdi. Onlar (o gün) imandan çok küfre yakındı. Ağızlarıyla, kalplerinde olmayanı söylüyorlardı.[2] (Oysa) Allah onların içlerinde gizlediklerini çok iyi bilendir.",Mehmet Okuyan,وَلِيَعْلَمَ الَّذ۪ينَ نَافَقُواۚ وَق۪يلَ لَهُمْ تَعَالَوْا قَاتِلُوا ف۪ي سَب۪يلِ اللّٰهِ اَوِ ادْفَعُواۜ قَالُوا لَوْ نَعْلَمُ قِتَالاً لَاتَّبَعْنَاكُمْۜ هُمْ لِلْكُفْرِ يَوْمَئِذٍ اَقْرَبُ مِنْهُمْ لِلْا۪يمَانِۚ يَقُولُونَ بِاَفْوَاهِهِمْ مَا لَيْسَ ف۪ي قُلُوبِهِمْۜ وَاللّٰهُ اَعْلَمُ بِمَا يَكْتُمُونَۚ
461,3,168,"(Evlerinde) oturup da kardeşleri hakkında ""Bize uysalardı öldürülmezlerdi."" diyorlardı. De ki: ""Doğruysanız kendinizden ölümü savın!""",Mehmet Okuyan,اَلَّذ۪ينَ قَالُوا لِاِخْوَانِهِمْ وَقَعَدُوا لَوْ اَطَاعُونَا مَا قُتِلُواۜ قُلْ فَادْرَؤُ۫ا عَنْ اَنْفُسِكُمُ الْمَوْتَ اِنْ كُنْتُمْ صَادِق۪ينَ
462,3,169,"Allah yolunda öldürülenleri sakın ölüler sanma(yın)! Aksine onlar diridir, Rableri katında rızıklandırılıyorlar.[1]",Mehmet Okuyan,وَلَا تَحْسَبَنَّ الَّذ۪ينَ قُتِلُوا ف۪ي سَب۪يلِ اللّٰهِ اَمْوَاتاًۜ بَلْ اَحْيَٓاءٌ عِنْدَ رَبِّهِمْ يُرْزَقُونَۙ
463,3,170,Allah'ın lütfundan kendilerine verdikleri ile sevinçli bir hâlde arkalarından gelecek ve henüz kendilerine katılmamış olan (kardeşlerine de) hiçbir keder ve korku bulunmadığı müjdesinin sevincini duymaktadırlar.,Mehmet Okuyan,فَرِح۪ينَ بِمَٓا اٰتٰيهُمُ اللّٰهُ مِنْ فَضْلِه۪ۙ وَيَسْتَبْشِرُونَ بِالَّذ۪ينَ لَمْ يَلْحَقُوا بِهِمْ مِنْ خَلْفِهِمْۙ اَلَّا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَۢ
464,3,171,"Onlar, Allah'tan gelen nimet ve iyiliğin, (yani) Allah'ın, müminlerin ödülünü elbette ziyan etmeyeceği müjdesinin sevinci içindedir.",Mehmet Okuyan,يَسْتَبْشِرُونَ بِنِعْمَةٍ مِنَ اللّٰهِ وَفَضْلٍۙ وَاَنَّ اللّٰهَ لَا يُض۪يعُ اَجْرَ الْمُؤْمِن۪ينَۚۛ ۟
465,3,172,Yara aldıktan sonra yine de Allah'ın ve Elçi'nin çağrısına uyanlar (özellikle) bunların içlerinden iyilik yapanlar ve takvâlı (duyarlı) olanlar için büyük bir ödül vardır.,Mehmet Okuyan,اَلَّذ۪ينَ اسْتَجَابُوا لِلّٰهِ وَالرَّسُولِ مِنْ بَعْدِ مَٓا اَصَابَهُمُ الْقَرْحُۜۛ لِلَّذ۪ينَ اَحْسَنُوا مِنْهُمْ وَاتَّقَوْا اَجْرٌ عَظ۪يمٌۚ
466,3,173,"Bir kısım insanlar, müminlere ""Düşmanlarınız olan insanlar, size karşı (asker) topladılar; aman onlardan sakının!"" dediklerinde, bu (durum) onların (müminlerin) imanlarını artırmış[1] ve ""Allah bize yeter. O, ne güzel vekildir (güven kaynağıdır)!"" demişlerdi.",Mehmet Okuyan,اَلَّذ۪ينَ قَالَ لَهُمُ النَّاسُ اِنَّ النَّاسَ قَدْ جَمَعُوا لَكُمْ فَاخْشَوْهُمْ فَزَادَهُمْ ا۪يمَاناًۗ وَقَالُوا حَسْبُنَا اللّٰهُ وَنِعْمَ الْوَك۪يلُ
467,3,174,"(Bunun üzerine), kendilerine hiçbir sıkıntı dokunmadan, Allah'ın nimet ve iyiliğiyle geri dönmüş, Allah'ın rızasına uymuşlardı. Allah büyük iyilik sahibidir.",Mehmet Okuyan,فَانْقَلَبُوا بِنِعْمَةٍ مِنَ اللّٰهِ وَفَضْلٍ لَمْ يَمْسَسْهُمْ سُٓوءٌۙ وَاتَّبَعُوا رِضْوَانَ اللّٰهِۜ وَاللّٰهُ ذُوفَضْلٍ عَظ۪يمٍ
468,3,175,"İşte o şeytan ancak kendi dostlarıyla (onların adını kullanarak) sizi korkutmaya çalışır. İman etmişseniz onlardan korkmayın, benden korkun![1]",Mehmet Okuyan,اِنَّمَا ذٰلِكُمُ الشَّيْطَانُ يُخَوِّفُ اَوْلِيَٓاءَهُۖ فَلَا تَخَافُوهُمْ وَخَافُونِ اِنْ كُنْتُمْ مُؤْمِن۪ينَ
469,3,176,"İnkârda yarışanlar seni üzmesin! Şüphesiz ki onlar, Allah'a asla zarar veremezler. Allah onlara ahirette bir pay vermemek istiyor. Onlar için büyük bir azap vardır.",Mehmet Okuyan,وَلَا يَحْزُنْكَ الَّذ۪ينَ يُسَارِعُونَ فِي الْكُفْرِۚ اِنَّهُمْ لَنْ يَضُرُّوا اللّٰهَ شَيْـٔاًۜ يُر۪يدُ اللّٰهُ اَلَّا يَجْعَلَ لَهُمْ حَظًّا فِي الْاٰخِرَةِۚ وَلَهُمْ عَذَابٌ عَظ۪يمٌ
470,3,177,"Şüphesiz ki imana karşılık inkârı satın alanlar, Allah'a asla zarar veremezler. Onlar için elem verici azap vardır.",Mehmet Okuyan,اِنَّ الَّذ۪ينَ اشْتَرَوُا الْكُفْرَ بِالْا۪يمَانِ لَنْ يَضُرُّوا اللّٰهَ شَيْـٔاًۚ وَلَهُمْ عَذَابٌ اَل۪يمٌ
471,3,178,"Kâfir olanlar sanmasınlar ki kendilerine zaman tanımamız, onlar için hayırlıdır. Onlara zaman tanıyoruz; sonunda günahlarını artıracaklar. Onlar için küçük düşürücü bir azap vardır.[1]",Mehmet Okuyan,وَلَا يَحْسَبَنَّ الَّذ۪ينَ كَفَرُٓوا اَنَّمَا نُمْل۪ي لَهُمْ خَيْرٌ لِاَنْفُسِهِمْۜ اِنَّمَا نُمْل۪ي لَهُمْ لِيَزْدَادُٓوا اِثْماًۚ وَلَهُمْ عَذَابٌ مُه۪ينٌ
472,3,179,"Allah pisi (kötüyü) temizden ayırana kadar müminleri, (şu) bulunduğunuz durumda bırakacak değildir.[1] Allah size gaybı (bilinemeyeni) bildirecek değildir.[2] Fakat Allah elçilerinden dilediğini seçer.[3] Allah'a ve elçilerine iman edin! İman eder, takvâlı (duyarlı) olursanız sizin için büyük bir ödül vardır.[4]",Mehmet Okuyan,مَا كَانَ اللّٰهُ لِيَذَرَ الْمُؤْمِن۪ينَ عَلٰى مَٓا اَنْتُمْ عَلَيْهِ حَتّٰى يَم۪يزَ الْخَب۪يثَ مِنَ الطَّيِّبِۜ وَمَا كَانَ اللّٰهُ لِيُطْلِعَكُمْ عَلَى الْغَيْبِ وَلٰكِنَّ اللّٰهَ يَجْتَب۪ي مِنْ رُسُلِه۪ مَنْ يَشَٓاءُ فَاٰمِنُوا بِاللّٰهِ وَرُسُلِه۪ۚ وَاِنْ تُؤْمِنُوا وَتَتَّقُوا فَلَكُمْ اَجْرٌ عَظ۪يمٌ
473,3,180,"Allah'ın, lütfundan kendilerine verdikleriyle ilgili olarak (infakta) cimrilik gösterenler, bunun kendileri için hayırlı olduğunu sanmasınlar; aksine bu, onlar için şerdir. Cimrilik ettikleri şey de kıyamet gününde boyunlarına dolanacaktır.[1] (Oysa) göklerin ve yerin mirası yalnızca Allah'a aittir.[2] Allah yapmakta olduklarınızdan haberdardır.",Mehmet Okuyan,وَلَا يَحْسَبَنَّ الَّذ۪ينَ يَبْخَلُونَ بِمَٓا اٰتٰيهُمُ اللّٰهُ مِنْ فَضْلِه۪ هُوَ خَيْراً لَهُمْۜ بَلْ هُوَ شَرٌّ لَهُمْۜ سَيُطَوَّقُونَ مَا بَخِلُوا بِه۪ يَوْمَ الْقِيٰمَةِۜ وَلِلّٰهِ م۪يرَاثُ السَّمٰوَاتِ وَالْاَرْضِۜ وَاللّٰهُ بِمَا تَعْمَلُونَ خَب۪يرٌ۟
474,3,181,"Şüphesiz ki Allah fakirmiş, biz ise zenginmişiz!"" diyenlerin sözünü Allah kesinlikle duymuştur. Onların (hem bu) söylediklerini, (hem de) haksız yere peygamberleri öldürmelerini[1] yazacağız[2] ve (onlara) ""Tadın o yakıcı azabı!"" diyeceğiz.",Mehmet Okuyan,لَقَدْ سَمِـعَ اللّٰهُ قَوْلَ الَّذ۪ينَ قَالُٓوا اِنَّ اللّٰهَ فَق۪يرٌ وَنَحْنُ اَغْنِيَٓاءُۢ سَنَكْتُبُ مَا قَالُوا وَقَتْلَهُمُ الْاَنْبِيَٓاءَ بِغَيْرِ حَقٍّۙ وَنَقُولُ ذُوقُوا عَذَابَ الْحَر۪يقِ
475,3,182,"""İşte bu, ellerinizin öne sunduğu şeyler yüzündendir."" (denecektir). Elbette Allah kullara asla haksızlık edici değildir.[1]",Mehmet Okuyan,ذٰلِكَ بِمَا قَدَّمَتْ اَيْد۪يكُمْ وَاَنَّ اللّٰهَ لَيْسَ بِظَلَّامٍ لِلْعَب۪يدِۚ
476,3,183,"(Yahudiler) ""Doğrusu Allah bize, (gökten inen) ateşin yiyeceği (yakıp kor edeceği) bir kurban getirmedikçe hiçbir Elçi'ye inanmamamızı emretti."" demişlerdi.[1] De ki: ""Size, benden önce apaçık deliller, (özellikle) dediğiniz (konu) ve elçiler elbette gelmişti. Doğruysanız peki onları niçin öldürdünüz?""",Mehmet Okuyan,اَلَّذ۪ينَ قَالُٓوا اِنَّ اللّٰهَ عَهِدَ اِلَيْنَٓا اَلَّا نُؤْمِنَ لِرَسُولٍ حَتّٰى يَأْتِيَنَا بِقُرْبَانٍ تَأْكُلُهُ النَّارُۜ قُلْ قَدْ جَٓاءَكُمْ رُسُلٌ مِنْ قَبْل۪ي بِالْبَيِّنَاتِ وَبِالَّذ۪ي قُلْتُمْ فَلِمَ قَتَلْتُمُوهُمْ اِنْ كُنْتُمْ صَادِق۪ينَ
477,3,184,"Seni yalanlarlarsa (üzülme)! Apaçık deliller, sahifeler ve aydınlatıcı kitabı getiren senden önceki elçiler de elbette yalanlanmıştı.[1]",Mehmet Okuyan,فَاِنْ كَذَّبُوكَ فَقَدْ كُذِّبَ رُسُلٌ مِنْ قَبْلِكَ جَٓاؤُ۫ بِالْبَيِّنَاتِ وَالزُّبُرِ وَالْكِتَابِ الْمُن۪يرِ
478,3,185,"Her nefis (can), ölümü tadıcıdır.[1] Kıyamet günü yaptıklarınızın karşılığı size elbette tastamam verilecektir. Kim cehennemden uzaklaştırılıp cennete konulursa, elbette o kurtulmuştur. Dünya hayatı, aldatıcı bir geçimlikten başka bir şey değildir.",Mehmet Okuyan,كُلُّ نَفْسٍ ذَٓائِقَةُ الْمَوْتِۜ وَاِنَّمَا تُوَفَّوْنَ اُجُورَكُمْ يَوْمَ الْقِيٰمَةِۜ فَمَنْ زُحْزِحَ عَنِ النَّارِ وَاُدْخِلَ الْجَنَّةَ فَقَدْ فَازَۜ وَمَا الْحَيٰوةُ الدُّنْيَٓا اِلَّا مَتَاعُ الْغُرُورِ
479,3,186,"Şüphesiz ki mallarınız ve canlarınız konusunda deneneceksiniz. Şüphesiz ki sizden önce kendilerine kitap verilenlerden ve müşriklerden birçok eziyet (verici sözler) duyacaksınız. Sabreder ve takvâlı (duyarlı) davranırsanız şüphesiz ki bu(nlar), kararlılık (göstermeye) değer işlerdendir.[1]",Mehmet Okuyan,لَتُبْلَوُنَّ ف۪ٓي اَمْوَالِكُمْ وَاَنْفُسِكُمْ وَلَتَسْمَعُنَّ مِنَ الَّذ۪ينَ اُو۫تُوا الْكِتَابَ مِنْ قَبْلِكُمْ وَمِنَ الَّذ۪ينَ اَشْرَكُٓوا اَذًى كَث۪يراًۜ وَاِنْ تَصْبِرُوا وَتَتَّقُوا فَاِنَّ ذٰلِكَ مِنْ عَزْمِ الْاُمُورِ
480,3,187,"Hani Allah kendilerine kitap verilenlerden, ""Onu mutlaka insanlara açıklayacaksınız ve onu gizlemeyeceksiniz""[1] diye söz almıştı. Onlar ise bunu sırtlarının arkasına atmışlar;[2] onu az bir değer karşılığında satmışlardı. Yaptıkları alışveriş ne kadar kötüdür!",Mehmet Okuyan,وَاِذْ اَخَذَ اللّٰهُ م۪يثَاقَ الَّذ۪ينَ اُو۫تُوا الْكِتَابَ لَتُبَيِّنُنَّهُ لِلنَّاسِ وَلَا تَكْتُمُونَهُۘ فَنَبَذُوهُ وَرَٓاءَ ظُهُورِهِمْ وَاشْتَرَوْا بِه۪ ثَمَناً قَل۪يلاًۜ فَبِئْسَ مَا يَشْتَرُونَ
481,3,188,"Sanma ki yaptıklarına sevinen, yapmadıkları ile övülmek isteyenler, (evet) sanma ki onlar azaptan kurtulacaklardır! Onlar için elem verici bir azap vardır.",Mehmet Okuyan,لَا تَحْسَبَنَّ الَّذ۪ينَ يَفْرَحُونَ بِمَٓا اَتَوْا وَيُحِبُّونَ اَنْ يُحْمَدُوا بِمَا لَمْ يَفْعَلُوا فَلَا تَحْسَبَنَّهُمْ بِمَفَازَةٍ مِنَ الْعَذَابِۚ وَلَهُمْ عَذَابٌ اَل۪يمٌ
482,3,189,Göklerin ve yerin otoritesi yalnızca Allah'a aittir. Allah her şeye gücü yetendir.[1],Mehmet Okuyan,وَلِلّٰهِ مُلْكُ السَّمٰوَاتِ وَالْاَرْضِۜ وَاللّٰهُ عَلٰى كُلِّ شَيْءٍ قَد۪يرٌ۟
483,3,190,"Şüphesiz ki göklerin ve yerin yaratılmasında, gece ile gündüzün değişmesinde (birbiri peşine gelişinde)[1] öz akıl sahipleri için dersler vardır.[2]",Mehmet Okuyan,اِنَّ ف۪ي خَلْقِ السَّمٰوَاتِ وَالْاَرْضِ وَاخْتِلَافِ الَّيْلِ وَالنَّهَارِ لَاٰيَاتٍ لِاُو۬لِي الْاَلْبَابِۚ
484,3,191,"Onlar, ayakta dururken, otururken, yanları üzerineyken (her zaman) Allah'ı hatırlar; göklerin ve yerin yaratılışı hakkında düşünür (ve şöyle derler:) ""Rabbimiz! Sen bunu batıl olarak (boş yere) yaratmadın.[1] Sen yücesin.[2] Bizi cehennem azabından koru!",Mehmet Okuyan,اَلَّذ۪ينَ يَذْكُرُونَ اللّٰهَ قِيَاماً وَقُعُوداً وَعَلٰى جُنُوبِهِمْ وَيَتَفَكَّرُونَ ف۪ي خَلْقِ السَّمٰوَاتِ وَالْاَرْضِۚ رَبَّنَا مَا خَلَقْتَ هٰذَا بَاطِلاًۚ سُبْحَانَكَ فَقِنَا عَذَابَ النَّارِ
485,3,192,"Rabbimiz! Doğrusu sen kimi ateşe koyarsan, artık onu elbette rezil etmişsindir. Zalimler için hiçbir yardımcı yoktur.",Mehmet Okuyan,رَبَّنَٓا اِنَّكَ مَنْ تُدْخِلِ النَّارَ فَقَدْ اَخْزَيْتَهُۜ وَمَا لِلظَّالِم۪ينَ مِنْ اَنْصَارٍ
486,3,193,Rabbimiz! Gerçek şu ki biz ‘Rabbinize inanın!' diye imana çağıran[1] davetçiyi duyduk ve hemen iman ettik. Rabbimiz! Bizim için günahlarımızı bağışla; kötülüklerimizi ört ve iyilerle birlikte (olacak şekilde) bizi vefat ettir!,Mehmet Okuyan,رَبَّنَٓا اِنَّـنَا سَمِعْنَا مُنَادِياً يُنَاد۪ي لِلْا۪يمَانِ اَنْ اٰمِنُوا بِرَبِّكُمْ فَاٰمَنَّاۗ رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا وَكَفِّرْ عَنَّا سَيِّـَٔاتِنَا وَتَوَفَّـنَا مَعَ الْاَبْرَارِۚ
487,3,194,"Rabbimiz! Bize, elçilerin vasıtasıyla vadettiklerini de ikram et ve kıyamet gününde bizi rezil etme! Şüphesiz ki sen sözünden dönmezsin.""[1]",Mehmet Okuyan,رَبَّنَا وَاٰتِنَا مَا وَعَدْتَنَا عَلٰى رُسُلِكَ وَلَا تُخْزِنَا يَوْمَ الْقِيٰمَةِۜ اِنَّكَ لَا تُخْلِفُ الْم۪يعَادَ
488,3,195,"Bunun üzerine Rableri, onlar(ın duaların)a şöyle cevap verdi: ""Şüphesiz ki ben erkek olsun kadın olsun, içinizden çalışıp bir iş (fedakârlık) yapan kimsenin yaptığını ziyan etmeyeceğim.[1] (Çünkü) hepiniz birbirinizdensiniz. Hicret edenler, yurtlarından çıkarılanlar, benim yolumda eziyete uğratılanlar, savaşanlar ve öldürülenler (var ya), şüphesiz ki ben de onların kötülüklerini örteceğim ve onları altlarından ırmaklar akan cennetlere koyacağım."" (Bu ödül), Allah tarafından bir sevap olarak (verilecektir). Karşılıkların güzeli yalnızca Allah katında olandır.",Mehmet Okuyan,فَاسْتَجَابَ لَهُمْ رَبُّهُمْ اَنّ۪ي لَٓا اُض۪يعُ عَمَلَ عَامِلٍ مِنْكُمْ مِنْ ذَكَرٍ اَوْ اُنْثٰىۚ بَعْضُكُمْ مِنْ بَعْضٍۚ فَالَّذ۪ينَ هَاجَرُوا وَاُخْرِجُوا مِنْ دِيَارِهِمْ وَاُو۫ذُوا ف۪ي سَب۪يل۪ي وَقَاتَلُوا وَقُتِلُوا لَاُكَفِّرَنَّ عَنْهُمْ سَيِّـَٔاتِهِمْ وَلَاُدْخِلَنَّهُمْ جَنَّاتٍ تَجْر۪ي مِنْ تَحْتِهَا الْاَنْهَارُۚ ثَوَاباً مِنْ عِنْدِ اللّٰهِۜ وَاللّٰهُ عِنْدَهُ حُسْنُ الثَّوَابِ
489,3,196,Kâfir olanların (refah içinde) diyar diyar dolaşması sakın seni aldatmasın!,Mehmet Okuyan,لَا يَغُرَّنَّكَ تَقَلُّبُ الَّذ۪ينَ كَفَرُوا فِي الْبِلَادِۜ
