kelime,arapca_harfler,anlam
fir’avn,نﻮﻋﺮﻓ,firavun.
firâk,قاﺮﻓ,1.ayrılık. 2.ayrılık acısı.
firâr,راﺮﻓ,"kaçış, kaçma."
firârî,یراﺮﻓ,kaçak.
firdevs,سودﺮﻓ,1.cennet. 2.bahçe.
firkat,ﺖﻗﺮﻓ,ayrılık.
fîsebîlillah,ﷲا ﻞﻴﺒﺱ ﯽﻓ,"Tanrı rızası için, Tanrı yolunda."
fiten,ﻦﺘﻓ,fitneler.
fitne,ﻪﻨﺘﻓ,"1.bölücülük, kargaşa çıkartma. 2.sıkıntı."
fityân,نﺎﻴﺘﻓ,gençler.
fuâd,داﺆﻓ,yürek.
fuhş,ﺶﺤﻓ,fuhuş.
fuhuş,ﺶﺤﻓ,fuhuş.
fukahâ,ﺎﻬﻘﻓ,"fıkıhçılar, islam hukukçuları."
fukarâ,اﺮﻘﻓ,yoksullar.
furkân,نﺎﻗﺮﻓ,1.Kur’ân. 2.iyi ile kötünün ayrıldığı yerleri gösteren.
fursat,ﺖﺹﺮﻓ,"fırsat, uygun an."
fusahâ,ﺎﺤﺼﻓ,fasih konuşanlar.
fusûl,لﻮﺼﻓ,"1.fasıllar, bölümler. 2.mevsimler."
fuzalâ,ﻼﻀﻓ,1.erdemliler. 2.bilginler.
fuzûl,لﻮﻀﻓ,"1.fazla, çok. 2.gereksiz, fuzuli."
fuzûlî,ﯽﻝﻮﻀﻓ,"1.zevzek, boşboğaz. 2.gereksiz, boşuna, fazladan."
füceten,ﺔﺌﺠﻓ,"apansız, ansızın."
fücûr,رﻮﺠﻓ,"1.yakın akraba evliliği. 2.günahkarlık, sefihlik."
fülân,نﻼﻓ,"falan, filan, falanca."
fülfül,ﻞﻔﻠﻓ,"biber, karabiber."
füls,ﺲﻠﻓ,mangır.
fülûs,سﻮﻠﻓ,mangırlar.
fünûn,نﻮﻨﻓ,1.teknikler. 2.bilimler.
fürû’,عوﺮﻓ,"yan dallar, şubeler."
fürûğ,غوﺮﻓ,1.ışık. 2.parıltı.
füshat,ﺖﺤﺴﻓ,genişlik.
fütûhât,تﺎﺣﻮﺘﻓ,fetihler.
fütûr,رﻮﺘﻓ,1.gevşeklik. 2.bıkkınlık.
fütüvvet,تﻮﺘﻓ,1.gençlik. 2.yiğitlik. 3.eskiden Anadolu’da kurulup gelişen
füyûz,ضﻮﻴﻓ,"feyizler, bolluklar, bereketler."
gabâvet,توﺎﺒﻏ,"bönlük, dangalaklık, kalınkafalılık."
gabî,ﯽﺒﻏ,"bön, dangalak, kalınkafalı."
gabn,ﻦﺒﻏ,"kazıklama, alışverişte aldatma."
gaddâr,راﺪﻏ,"zalim, acımasız."
gadr,رﺪﻏ,"haksızlık, zulüm."
gaffâr,رﺎﻔﻏ,bağışlayıcı Tanrı.
gâfil,ﻞﻓﺎﻏ,habersiz.
gaflet,ﺖﻠﻔﻏ,"habersizlik, dikkatsizlik, dalgınlık."
gafleten,ﺔﻠﻔﻏ,dalgınlıkla.
gafûr,رﻮﻔﻏ,bağışlayıcı.
gâib,ﺐﺋﺎﻏ,"bulunmayan, ortada görünmeyen, kayıp."
gâile,ﻪﻠﺋﺎﻏ,"1.uğraşı, telaş, meşakkat. 2.savaş."
gâita,ﻪﻄﺋﺎﻏ,dışkı.
galat,ﻂﻠﻏ,yanlış.
galebe,ﻪﺒﻠﻏ,"1.baskın çıkma, ağır basma. 2.kalabalık."
galeyân,نﺎﻴﻠﻏ,kaynama.
gâlib,ﺐﻝﺎﻏ,1.ağır basan. 2.galip.
gâliba,ﺎﺒﻝﺎﻏ,"sanırım, belki."
gâlibiyyet,ﺖﻴﺒﻝﺎﻏ,"zafer, ağır basma, yenme."
galîz,ﻆﻴﻠﻏ,"koyu, yoğun, kaba."
galle,ﻪﻠﻏ,tahıl.
gam,ﻢﻏ,"keder, üzüntü."
gâmız,ﺾﻡﺎﻏ,"çapraşık, güç anlaşılır."
gammâz,زﺎﻤﻏ,ispiyoncu.
ganâim,ﻢﺋﺎﻨﻏ,ganimetler.
ganem,ﻢﻨﻏ,koyun.
ganî,ﯽﻨﻏ,zengin.
ganîmet,ﺖﻤﻴﻨﻏ,1.savaşta düşmandan alınan her türlü eşya. 2.bedelsiz
gâr,رﺎﻏ,mağara.
garâbet,ﺖﺑاﺮﻏ,gariplik.
garâib,ﺐﺋاﺮﻏ,gariplikler.
garâm,ماﺮﻏ,"tutku, aşk."
garaz,ضﺮﻏ,maksat.
garb,بﺮﻏ,1.batı. 2.Batı dünyası.
garben,ﺎﺑﺮﻏ,batıdan.
garbî,ﯽﺑﺮﻏ,"garbî batı, batı ile ilgili."
garbiyyûn,نﻮﻴﺑﺮﻏ,"batılılar, Avrupalılar."
gâret,ترﺎﻏ,yağma.
garîb,ﺐیﺮﻏ,1.gurbette yaşayan. 2.yabancı. 3.kimsesiz. 4.tuhaf.
garibü’d-diyâr,رﺎیﺪﻝا ﺐیﺮﻏ,gurbette.
garîk,ﻖیﺮﻏ,boğulmuş.
garîze,ﻩﺰیﺮﻏ,içgüdü.
garizî,یﺰیﺮﻏ,içgüdüsel.
gark,قﺮﻏ,"1.boğulma, suda boğulma. 2.batırma."
garrâ,اﺮﻏ,parlak.
gars,سﺮﻏ,ağaç dikme.
gasb,ﺐﺼﻏ,"el koyma, zorla elinden alma."
gaseyan,نﺎﻴﺼﻏ,1.kusma. 2.kusmuk.
gâsıb,ﺐﻴﺼﻏ,gasp edici.
gasl,ﻞﺴﻏ,ölü yıkama.
gassâl,لﺎﺴﻏ,ölü yıkayıcı.
gâşiye,ﻪﻴﺵﺎﻏ,"1.perde, örtü. 2.zar."
gaşy,ﯽﺸﻏ,"bayılma, kendinden geçme."
gavvâs,صاﻮﻏ,dalgıç.
gâyât,تﺎیﺎﻏ,gayeler.
gayb,ﺐیﺎﻏ,"1.gözle görülmeyen, gizli. 2.kayıp."
gaybûbet,ﺖﺑﻮﺒﻴﻏ,"bulunmama, yokluk."
gâye,ﻪیﺎﻏ,amaç.
gâyet,ﺖیﺎﻏ,1.son. 2.çok. 3.son derece.
gayr,ﺮﻴﻏ,"1.başka. 2.yabancı. 2.olmayan, değil."
gayret,تﺮﻴﻏ,1.çaba. 2.kıskançlık.
gayriyyet,ﺖیﺮﻴﻏ,gayrılık.
gayyâ,ﺎﻴﻏ,cehennemdeki kuyulardan birinin adı.
gayz,ﻆﻴﻏ,öfke.
gazâ,اﺰﻏ,savaş.
gazab,ﺐﻀﻏ,"hiddet, kızgınlık."
gazâl,لاﺰﻏ,ceylan.
gazanfer,ﺮﻔﻨﻀﻏ,arslan.
gazavât,تاوﺰﻏ,"savaşlar, harpler."
gazel,لﺰﻏ,lirik şiir.
gazeliyyât,تﺎﻴﻝﺰﻏ,gazeller.
gazî,یزﺎﻏ,"savaşmış, gaza yapmış."
gazve,ﻩوﺰﻏ,"savaş, din savaşı."
gıbta,ﻪﻄﺒﻏ,imrenme.
gıdâ,اﺪﻏ,"besin, gıda."
gılâf,فﻼﻏ,"kın, kılıf."
gıllügış,ﺶﻏ و ﻞﻏ,kin.
gılmân,نﺎﻤﻠﻏ,"1.köle. 2.genç, yeni yetme."
gılzet,ﺖﻈﻠﻏ,1.yoğunluk. 2.kabalık. 3.kalınlık.
gınâ,ﺎﻨﻏ,1.zenginlik. 2.bıkkınlık.
gırbâl,لﺎﺑﺮﻏ,"elek, kalbur."
gışâ,ﺎﺸﻏ,1.örtü. 2.perde. 3.zar.
gışş,ﺶﻏ,"hile, kötülük."
gıyâb,بﺎﻴﻏ,"bulunmama, yokluk."
gıyâben,ﺎﺑﺎﻴﻏ,"yokluğunda, yokken, ardından."
gıyâs,ثﺎﻴﻏ,yardım.
gıybet,ﺖﺒﻴﻏ,"1.çekiştirme. 2.bulunmama, yokluk."
gubâr,رﺎﺒﻏ,toz.
gudde,ﻩﺪﻏ,"bez, salgı bezi."
guded,دﺪﻏ,salgı bezleri.
gufrân,ناﺮﻔﻏ,bağışlama.
gûl,لﻮﮔ,gulyabani.
gulâm,مﻼﻏ,1.köle. 2.genç.
gulât,تﻼﻏ,dinde aşırıya kaçanlar.
gumûm,مﻮﻤﻏ,"gamlar, kederler."
gurâb,باﺮﻏ,karga.
gurbet,ﺖﺑﺮﻏ,1.gariplik. 2.yabancı diyar.
gurebâ,ﺎﺑﺮﻏ,garipler.
gurre,ﻩﺮﻏ,1.arap aylarının ilk günü. 2.akıtma.
gurûb,بوﺮﻏ,batış.
gurûr,روﺮﻏ,1.mağrurluk. 2.aldanış.
gusl,ﻞﺴﻏ,yıkanma.
gusn,ﻦﺼﻏ,dal.
gussa,ﻪﺼﻏ,"üzüntü, keder."
habâb,بﺎﺒﺣ,hava kabarcığı.
habâbe,ﻪﺑﺎﺒﺣ,hava kabarcığı.
habâis,ﺚﺋﺎﺒﺧ,kötülükler.
habâset,ﺖﺛﺎﺒﺧ,"kötülük, alçaklık."
habb,ﺐﺣ,"1.çekirdek, tohum. 2.hap."
habbât,تﺎﺒﺣ,1.hava kabarcıkları. 2.haplar.
habbâz,زﺎﺒﺧ,ekmekçi.
habbe,ﻪﺒﺣ,taneler.
habbezâ,اﺬﺒﺣ,ne güzel.
habbülbülûğ,غﻮﻠﺒﻝا ﺐﺣ,ergenlik sivilcesi.
haber,ﺮﺒﺧ,haber.
habeşe,ﻪﺸﺒﺣ,1.Habeşistan. 2.Habeş.
habîb,ﺐﻴﺒﺣ,1.sevgili. 2.dost. 3.Hz. Muhammed
habîr,ﺮﻴﺒﺧ,haberli.
habis,ﺚﻴﺒﺧ,"kötü, pis."
habl,ﻞﺒﺣ,ip.
hablülmesâkin,ﻦﮐﺎﺴﻤﻝا ﻞﺒﺣ,sarmaşık.
habr,ﺮﺒﺣ,bilgin.
habs,ﺲﺒﺣ,1.hapis. 2.tutma.
habt,ﻂﺒﺧ,yanlış hareket.
habtühata,ﺎﻄﺧ و ﻂﺒﺧ,yanlış yapma.
hac,جﺎﺣ,hacı.
hacâlet,ﺖﻝﺎﺠﺧ,utanma.
hacâletâver,روﺁ ﺖﻝﺎﺠﺧ,utanç verici.
hacamat,ﺖﻡﺎﺠﺣ,kan alma.
hacâmet,ﺖﻡﺎﺠﺣ,"kan alma, hacamat."
hâcât,تﺎﺝﺎﺣ,1.ihtiyaçlar. 2.istekler.
haccâm,مﺎﺠﺣ,hacamatçı.
haccar,رﺎﺠﺣ,"taş işçisi, taşçı."
hâcce,ﻪﺝﺎﺣ,bayan hacı.
hacel,ﻞﺠﺧ,utanma.
hacer,ﺮﺠﺣ,taş.
hâcet,ﺖﺝﺎﺣ,ihtiyaç.
hacı,ﯽﺝﺎﺣ,hacı.
hâcî,ﯽﺝﺎه,"hicveden, yeren."
hâcib,ﺐﺝﺎﺣ,1.kapıcı. 2.perdedar. 3.engel. 4.kaş.
hacîl,ﻞﻴﺠﺧ,utangaç.
hâcir,ﺮﺝﺎه,göçmen.
hâciz,ﺰﺝﺎﺣ,1.ayıran. 2.haczeden.
hacle,ﻪﻠﺠﺣ,gerdek odası.
haclet,ﺖﻠﺠﺧ,utanma.
hacm,ﻢﺠﺣ,hacim.
hacmen,ﺎﻤﺠﺣ,hacimce.
hacz,ﺰﺠﺣ,haciz.
hadâik,ﻖﺋاﺪﺣ,bahçeler.
hâdd,دﺎﺣ,1.keskin. 2.sivri. 3.dar.
hadd,ﺪﺣ,1.sınır. 2.şer’î ceza.
hadd,ﺪﺧ,yanak.
haddâ’,عاﺪﺧ,düzenbaz.
haddâd,داﺪﺣ,demirci.
hadeb,بﺪﺣ,kamburluk.
hadem,مﺪﺧ,hizmetçiler.
hademe,ﻪﻡﺪﺧ,hizmetçiler.
hader,رﺪﺧ,uyuşma.
hades,سﺪﺣ,"sezi, tahmin."
hâdî,یدﺎه,doğru yolu gösteren.
hâdi’,عدﺎﺧ,düzenbaz.
hadîka,ﻪﻘیﺪﺣ,bahçe.
hâdim,مدﺎﺧ,hizmetçi.
hâdime,ﻪﻡدﺎﺧ,bayan hizmetçi.
hâdis,ثدﺎﺣ,1.meydana gelen. 2.yeni.
hadîs,ﺚیﺪﺣ,"hadis, Peygamber sözü."
hâdisat,تﺎﺛدﺎﺣ,olaylar.
hâdise,ﻪﺛدﺎﺣ,olay.
hadrâ,اﺮﻀﺣ,yeşil.
hads,سﺪﺣ,1.tahmin. 2.seziş.
hadşe,ﻪﺵﺪﺧ,ürküntü.
hafâ,ﺎﻔﺧ,gizlilik.
hafâfîş,ﺶﻴﻓﺎﻔﺧ,yarasalar.
hafâir,ﺮﺋﺎﻔﺣ,1.çukurlar. 2.oyuklar.
hafakan,نﺎﻘﻔﺧ,yürek çarpıntısı.
hafâyâ,ﺎیﺎﻔﺧ,gizli şeyler.
hafız,ﻆﻓﺎﺣ,1.koruyan. 2.ezberleyen. 3.Kur’ân hafızı.
hafıza,ﻪﻈﻓﺎﺣ,bellek.
hâfî,ﯽﻓﺎﺣ,yalınayak koşan.
hafî,ﯽﻔﺧ,gizli
hafîd,ﺪﻴﻔﺣ,torun.
hafîde,ﻩﺪﻴﻔﺣ,kız torun.
hafif,ﻒﻴﻔﺧ,hafif.
hâfir,ﺮﻓﺎﺣ,"kazan, kazıcı."
hafîr,ﺮﻴﻔﺣ,1.çukur. 2.mezar.
hafiyyât,تﺎﻴﻔﺧ,gizli şeyler.
hafiyye,ﻪﻴﻔﺧ,gizli polis.
hafiyyen,ﺎﻴﻔﺧ,gizlice.
hafr,ﺮﻔﺣ,kazma.
hafriyyât,تﺎیﺮﻔﺣ,kazı.
haftân,نﺎﺘﻔﺧ,kaftan.
hâif,ﻒﺋﺎﺧ,korkak.
hâifen,ﺎﻔﺋﺎﺧ,korkarak.
hâil,ﻞﺋﺎه,korkunç.
hâin,ﻦﺋﺎﺧ,1.hain. 2.acımasız.
hâiz,ﺰﺋﺎﺣ,"sahip, bulunduran."
hak,ﻖﺣ,1.Tanrı. 2.doğru. 3.pay.
Hak Teâlâ,ﯽﻝﺎﻌﺕ ﻖﺣ,Yüce Tanrı.
hakâik,ﻖﺋﺎﻘﺣ,gerçekler.
hakâret,ترﺎﻘﺣ,"aşağılama, hakaret."
hakâyık,ﻖیﺎﻘﺣ,gerçekler.
hakem,ﻢﮑﺣ,hakem.
hâkezâ,اﺬﮑه,aynı şekilde.
hâkî,ﯽﮐﺎﺣ,hikaye eden.
hakîkat,ﺖﻘﻴﻘﺣ,gerçek.
hakîkaten,ﺔﻘﻴﻘﺣ,gerçekten.
hakikî,ﯽﻘﻴﻘﺣ,gerçek.
hakikiye,ﻪﻴﻘﻴﻘﺣ,gerçek.
hakîm,ﻢﻴﮑﺣ,"1.Tanrı. 2.hakim, yargıç."
hâkimiyet,ﺖﻴﻤﮐﺎﺣ,egemenlik.
hakîr,ﺮﻴﻘﺣ,"1.değersiz. 2.küçük. 3.bendeniz, ben."
hakk,ﻖﺣ,1.Tanrı. 2.doğru. 3.hak.
hakk,ﮏﺣ,kazıma.
hakkâk,کﺎﮑﺣ,1.mühürcü. 2.kazıyıcı.
hakkaniyet,ﺖﻴﻥﺎﻘﺣ,doğruluk.
hâl,لﺎﺣ,"1.hal, durum. 2.şimdiki durum, şimdiki zaman."
hâl,لﺎﺧ,dayı.
hal’,ﻊﻠﺧ,tahttan indirme.
hâlâ,ﻻﺎﺣ,"şimdi, hâlâ."
halâ,ﻼﺧ,1.tuvalet. 2.boş.
halâik,ﻖﺋﻼﺧ,1.yaratıklar. 2.halayık.
halâl,لﻼﺧ,"mesafe, aralık, açıklık."
halâs,صﻼﺧ,"kurtuluş, kurtulma."
hâlât,تﻻﺎﺣ,haller.
halâvet,توﻼﺣ,tatlılık.
hâle,ﻪﻝﺎﺧ,1.hala. 2.teyze.
hâle,ﻪﻝﺎه,"ayça, hâle."
halecan,نﺎﺠﻠﺧ,çarpıntı.
halef,ﻒﻠﺧ,"1.evlat, oğul. 2.halef, yerine geçen, arkadan gelen"
halel,ﻞﻠﺧ,bozukluk.
halen,ﻻﺎﺣ,"şimdilik, henüz."
hâlet,ﺖﻝﺎﺣ,1.hal. 2.nitelik.
halhal,لﺎﺨﻠﺧ,"ayak bileziği, halhal."
hâlık,ﻖﻝﺎﺧ,"Yaratan, Tanrı."
hâlî,ﯽﻝﺎﺧ,boş.
halîb,ﺐﻴﻠﺣ,süt.
halîc,ﺞﻴﻠﺧ,körfez.
hâlid,ﺪﻝﺎﺧ,"sonsuz, ebedî."
halîfe,ﻪﻔﻴﻠﺧ,1.halife. 2.kalfa.
hâlik,ﻖﻝﺎﺧ,1.Tanrı. 2.yaratan.
hâlikiyet,ﺖﻴﻘﻝﺎﺧ,yaratıcılık.
halîm,ﻢﻴﻠﺣ,yumuşak huylu.
hâlis,ﺺﻝﺎﺧ,"1.katışıksız, saf, som."
halîta,ﻪﻄﻴﻠﺧ,1.karışım. 2.alaşım.
hâliyâ,ﺎﻴﻝﺎﺣ,"şimdi, şu anda."
halk,ﻖﻠﺣ,boğaz.
halk,ﻖﻠﺧ,1.yaratma. 2.yaratılma. 3.halk.
halka,ﻪﻘﻠﺣ,halka.
halkiyat,تﺎﻴﻘﻠﺧ,"folklor, halk bilimi."
hall,ﻞﺣ,"1.çözülme, erime. 2.çözme."
hallâc,جﻼﺣ,halaç.
hallâk,قﻼﺧ,yaratıcı.
hallâl,لﻼﺣ,çözen.
hallüfasl,ﻞﺼﻓ و ﻞﺣ,"halletme, yoluna koyma."
halt,ﻂﻠﺧ,karıştırma.
halûk,قﻮﻠﺧ,iyi huylu.
halvet,تﻮﻠﺧ,1.tenha. 2.başbaşa kalma.
hamâil,ﻞﺋﺎﻤﺣ,kılıç kayışı.
hamâkat,ﺖﻗﺎﻤﺣ,ahmaklık.
hamâme,ﻪﻡﺎﻤﺣ,güvercin.
hamâse,ﻪﺱﺎﻤﺣ,kahramanlık şiiri.
hamâset,ﺖﺱﺎﻤﺣ,"kahramanlık şiiri, hamase."
hamd,ﺪﻤﺣ,şükür.
hamel,ﻞﻤﺣ,kuzu.
hamelât,تﻼﻤﺣ,"saldırılar, hamleler."
hâmî,ﯽﻡﺎﺣ,"gözeten, himaye eden."
hâmid,ﺪﻡﺎﺣ,"hamd eden, şükreden."
hâmil,ﻞﻡﺎﺣ,1.taşıyan. 2.hamile. 3.sahip.
hâmile,ﻪﻠﻡﺎﺣ,"gebe, hamile."
hamîr,ﺮﻴﻤﺣ,hamur.
hâmis,ﺲﻡﺎﺧ,beşinci.
hâmisen,ﺎﺴﻡﺎﺧ,beşincisi.
hâmiş,ﺶﻡﺎه,mektup ilavesi.
hâmiz,ﺾﻡﺎﺣ,1.ekşi. 2.kekre.
haml,ﻞﻤﺣ,1.taşıma. 2.gebelik. 3.yükleme.
hamle,ﻪﻠﻤﺣ,1.saldırı. 2.atak.
hammâl,لﺎﻤﺣ,hamal.
hammâm,مﺎﻤﺣ,1.banyo. 2.hamam.
hammâr,رﺎﻤﺧ,meyhaneci.
hamr,ﺮﻤﺧ,şarap.
hamrâ,اﺮﻤﺧ,"kırmızı, kızıl."
hams,ﺲﻤﺧ,beş.
hamse,ﻪﺴﻤﺧ,beş mesnevîlik eser.
hamsin,ﻦﻴﺴﻤﺧ,elli.
hamûl,لﻮﻤﺣ,dayanıklı.
hamûle,ﻪﻝﻮﻤﺣ,yük.
hamz,ﺾﻤﺣ,ekşilik.
hanâzir,ﺮیزﺎﻨﺧ,domuzlar.
hancer,ﺮﺠﻨﺧ,hançer.
hancere,ﻩﺮﺠﻨﺣ,"gırtlak, hançere."
handek,قﺪﻨﺧ,hendek.
hânkah,ﻩﺎﻘﻥﺎﺧ,tekke.
hannas,سﺎﻨﺧ,şeytan.
hapis,ﺲﺒﺣ,bir yere kapatma veya kapanma.
harâb,باﺮﺧ,"1.yıkık, harap. 2.fitil gibi sarhoş."
harâbat,تﺎﺑاﺮﺧ,meyhane.
harâbe,ﻪﺑاﺮﺧ,"yıkıntı, harabe."
harâc,جاﺮﺧ,haraç.
haram,ماﺮﺣ,haram.
harâmi,ﯽﻡاﺮﺣ,eşkıya.
harâret,تراﺮﺣ,1.sıcaklık.
harâtin,ﻦﻴﻃاﺮﺧ,solucan.
harb,بﺮﺣ,"harp, savaş."
harbe,ﻪﺑﺮﺣ,süngü.
harbiye,ﻪﻴﺑﺮﺣ,harp okulu.
harc,جﺮﺧ,1.vergi. 2.masraf.
hardal,لدﺮﺧ,hardal.
harekât,تﺎﮐﺮﺣ,hareketler.
hareket,ﺖﮐﺮﺣ,1.hareket. 2.davranış.
harem,مﺮﺣ,"harem, herkesin giremeyeceği yer."
harf,فﺮﺣ,1.harf. 2.söz.
hârib,برﺎه,kaçan.
hâric,جرﺎﺧ,"dış, dışarı."
hâricen,ﺎﺝرﺎﺧ,"dıştan, dışarıdan."
hâricî,ﯽﺝرﺎﺧ,dış ile ilgili.
hariciye,ﻪﻴﺝرﺎﺧ,"1.dışa bağlı, dışarıya ilişkin. 2.dışişleri bakanlığı."
harîf,ﻒیﺮﺣ,1.rakip. 2.meslektaş.
harîk,ﻖیﺮﺣ,yangın.
hârika,ﻪﻗرﺎﺧ,harika.
hârikulâde,ﻩدﺎﻌﻝا قرﺎﺧ,olağanüstü.
harîm,ﻢیﺮﺣ,1.kutsal. 2.harem. 3.avlu.
harîr,ﺮیﺮﺣ,ipek.
harîrî,یﺮیﺮﺣ,ipekli.
hâris,ثرﺎﺣ,çiftçi.
hâris,سرﺎﺣ,bekçi.
harîs,ﺺیﺮﺣ,hırslı.
harita,ﻪﻄیﺮﺧ,harita.
harnub,بﻮﻥﺮﺧ,keçi boynuzu.
hârr,رﺎﺣ,"kızgın, yakıcı."
harrât,طاﺮﺧ,doğramacı.
hars,ثﺮﺣ,kültür.
harsî,ﯽﺛﺮﺣ,kültürel.
hâs,صﺎﺧ,"1.özgü, has. 2.saf. 3.özel."
hasâdet,تدﺎﺴﺣ,kıskançlık.
hasâil,ﻞﺋﺎﺼﺧ,"hasletler, tabiatlar."
hasâis,ﺺﺋﺎﺼﺧ,"nitelikler, özellikler."
hasâr,رﺎﺴﺧ,"zarar, hasar."
hasarât,تاﺮﺴﺧ,zararlar.
hasâret,ترﺎﺴﺧ,"zarar, hasar."
hasâset,ﺖﺱﺎﺴﺧ,pintilik.
hasb,ﺐﺴﺣ,göre.
hasbe,ﻪﺒﺼﺣ,kızamık.
hasbelkader,رﺪﻘﻝا ﺐﺴﺣ,"kaderden ileri gelen, kadere bak."
hasbetenlillah,ﷲ ﺔﺒﺴﺣ,Allah rızası için.
hasbü’l-mâhiye,ﻪﻴهﺎﻤﻝا ﺐﺴﺣ,yapı bakımından.
hasebe,ﻪﺒﺼﺣ,kızamık.
hased,ﺪﺴﺣ,kıskançlık.
hasen,ﻦﺴﺣ,güzel.
hasenât,تﺎﻨﺴﺣ,iyilikler.
hasene,ﻪﻨﺴﺣ,"güzel, iyi."
hasenülhulk,ﻖﻠﺨﻝا ﻦﺴﺣ,huyu güzel.
hasf,ﻒﺴﺧ,ay tutulması.
hâsıd,ﺪﺹﺎﺣ,"ekin biçen, hasatçı."
hâsıl,ﻞﺹﺎﺣ,"ortaya çıkan, var olan."
hâsılat,تﻼﺹﺎﺣ,"kazanç, gelir."
hasım,ﻢﺼﺧ,düşman.
hasîb,ﺐﻴﺴﺣ,1.değerli. 2.muhasebeci.
hâsid,ﺪﺱﺎﺣ,kıskanç.
hasîn,ﻦﻴﺼﺣ,"sağlam, müstahkem."
hasîr,ﺮﻴﺼﺣ,hasır.
hâsir,ﺮﺱﺎﺧ,"zarar eden, hüsrana uğrayan."
hasis,ﺲﻴﺴﺧ,pinti.
hasîsa,ﻪﺼﻴﺼﺧ,karakter.
hasiy,ﯽﺼﺧ,"iğdiş, hadım edilmiş."
haslet,ﺖﻠﺼﺧ,"tabiat, yaratılıştan gelen huy."
hasm,ﻢﺼﺧ,"düşman, hasım."
hasnâ,ﺎﻨﺴﺣ,"güzel kız, güzel kadın."
hasr,ﺮﺼﺣ,"tahsis etme, ayırma, vakfetme, adama."
hasret,تﺮﺴﺣ,özlem.
hassa,ﻪﺹﺎﺧ,özellik.
hassâd,دﺎﺼﺣ,orakçı.
hassas,سﺎﺴﺣ,"duygulu, hassas."
hassâsiyyet,ﺖﻴﺱﺎﺴﺣ,hassaslık.
hâsse,ﻪﺹﺎﺧ,duyu.
hâsseten,ﺔﺹﺎﺧ,"özellikle, hele hele."
hasûd,دﻮﺴﺣ,kıskanç.
hâşâ,ﺎﺵﺎﺣ,"uzak dursun, hâşa."
haşeb,ﺐﺸﺧ,odun.
haşem,ﻢﺸﺣ,maiyet.
haşerat,تاﺮﺸﺣ,"haşereler, börtü böcek."
haşere,ﻩﺮﺸﺣ,"böcek, haşere."
haşhaş,شﺎﺨﺸﺧ,haşhaş.
haşîn,ﻦﻴﺸﺧ,"kaba, sert."
hâşiye,ﻪﻴﺵﺎﺣ,1.kenar. 2.şerh kitabı.
haşmet,ﺖﻤﺸﺣ,1.görkem. 2.hiddet.
haşmetmeab,بﺂﻡ ﺖﻤﺸﺣ,"görkemli, haşmetli."
haşr,ﺮﺸﺣ,"kıyamet, haşır."
haşv,ﻮﺸﺣ,"1.doldurulmuş, yararsız söz. 2.kuru ot."
haşyet,ﺖﻴﺸﺧ,korkma.
hatâ,ﺎﻄﺧ,"1.yanlış, hata. 2.kusur."
hatab,ﺐﻄﺣ,odun.
hatâen,ءﺎﻄﺧ,yanlışlıkla.
hatâiyyât,تﺎﻴﺋﺎﻄﺧ,"hatalar, yanlışlıklar."
hatar,ﺮﻄﺧ,tehlike.
hatarât,تاﺮﻄﺧ,tehlikeler.
hatâyâ,ﺎیﺎﻄﺧ,"yanlışlar, hatalar."
hâtem,ﻢﺕﺎﺧ,1.mühür. 2.yüzük.
hâtıf,ﻒﺕﺎه,gaipten gelen ses.
hâtır,ﺮﻃﺎﺧ,"hatır, gönül."
hâtıra,ﻩﺮﻃﺎﺧ,"hatıra, hatıra gelen."
hâtırat,تاﺮﻃﺎﺧ,1.hatıralar. 2.anı kitabı.
hatîa,ﻪﺌﻴﻄﺧ,kabahat.
hatîb,ﺐﻴﻄﺧ,hatip.
hâtime,ﻪﻤﺕﺎﺧ,son.
hatîr,ﺮﻴﻄﺧ,1.tehlikeli. 2.yüce.
hatm,ﻢﺘﺧ,"1.hatim, hatim indirme. 2.mühürleme."
hatn,ﻦﺘﺧ,sünnet.
hatt,ﻂﺧ,1.çizgi. 2.yol. 3.yeni terlemiş bıyık.
hattâ,ﯽﺘﺣ,"üstelik, hatta."
hattâb,بﺎﻄﺣ,oduncu.
hattat,طﺎﻄﺧ,"hattat, güzel yazı yazan."
hatve,ﻩﻮﻄﺧ,adım.
havâ,اﻮه,hava.
havâdis,ثداﻮﺣ,1.yeni haberler. 2.olaylar.
havaî,ﯽﺋاﻮه,havaya ait.
havale,ﻪﻝاﻮﺣ,"ısmarlama, havale."
havali,ﯽﻝاﻮﺣ,yöre.
havârik,قراﻮﺧ,harikalar.
havâss,صاﻮﺧ,1.seçkin kişiler. 2.nitelikler.
havâyic,ﺞیاﻮﺣ,"ihtiyaçlar, gereksinimler."
hâven,نوﺎه,havan.
havf,فﻮﺧ,korku.
hâvî,یوﺎﺣ,"içeren, ihtiva eden."
havl,لﻮﺣ,1.güç. 2.çevre.
havsala,ﻪﻠﺹﻮﺣ,"kavrama gücü, havsala."
havz,ضﻮﺣ,havuz.
hayâ,ﺎﻴﺣ,"utanma, haya, ar."
hayâl,لﺎﻴﺧ,"hayal, düş."
hayâlât,تﻻﺎﻴﺧ,"hayaller, düşler."
hayâlen,ﻻﺎﻴﺧ,hayali olarak.
hayâlet,ﺖﻝﺎﻴﺧ,hayalet.
